,leiden
Y69A2AR.3,0
ric-8,0
Y69A2AR.31,1
Y69A2AR.1,0
gpx-4,4
Y94H6A.3,0
egrh-3,1
Y94H6A.5,0
ubc-8,2
Y94H6A.10,2
Y94H6A.12,1
Y94H6A.7,4
Y94H6A.8,0
ubxn-2,0
Y94H6A.2,6
nhr-277,5
Y54G2A.41,5
Y54G2A.38,9
Y54G2A.77,10
Y54G2A.11,13
Y54G2A.12,4
Y54G2A.72,4
atln-1,0
Y54G2A.52,2
Y54G2A.10,5
Y54G2A.44,3
Y54G2A.32,5
Y54G2A.45,3
Y54G2A.76,1
Y54G2A.13,10
Y54G2A.37,3
clec-80,9
Y54G2A.48,11
pudl-1,12
pudl-2,8
clec-82,3
Y54G2A.7,2
clec-83,2
clec-84,3
Y54G2A.15,8
Y54G2A.40,4
Y54G2A.49,3
clec-85,4
Y54G2A.16,6
nprt-1,1
dml-1,2
Y54G2A.75,0
Y54G2A.18,0
Y54G2A.19,4
Y54G2A.36,4
Y54G2A.50,1
fbxc-45,9
ubc-13,0
Y54G2A.23,0
samt-1,2
ser-6,2
lad-2,7
Y54G2A.26,0
Y54G2A.27,8
Y54G2A.73,3
Y54G2A.28,8
vrp-1,6
ndnf-1,3
eel-1,0
Y67D8C.3,1
Y67D8C.6,10
Y67D8C.7,8
cpg-9,13
Y67D8C.22,5
Y67D8C.9,0
mca-3,0
T23E1.3,3
T23E1.1,5
Y67D8B.1,8
Y67D8B.4,1
Y67D8B.2,2
Y67D8B.5,11
M4.1,4
Y67D8A.2,0
dmd-9,5
T26C12.1,0
T26C12.2,10
clec-173,6
T26C12.3,0
gcy-23,7
W08E12.8,2
W08E12.7,1
W08E12.6,2
W08E12.4,2
W08E12.3,2
W08E12.2,2
W08E12.9,6
zip-11,2
F42A6.5,14
F42A6.6,0
hrp-1,7
F42A6.2,6
elks-1,0
F42A6.1,9
Y55H10A.2,5
vha-19,0
otub-4,0
B0546.3,2
B0546.4,0
mai-2,0
C04C3.4,6
C04C3.14,8
dyf-3,7
pdhb-1,0
lgc-9,3
C04C3.6,5
C04C3.9,10
srz-60,2
srz-32,14
grd-13,3
grd-3,3
grd-10,2
F09D12.2,3
F58E2.5,7
srz-23,5
F58E2.4,2
F58E2.3,3
srz-69,9
srz-70,9
C09G12.5,5
srz-37,5
srz-82,9
srz-78,5
srz-79,5
C09G12.17,3
ceh-53,7
srz-83,3
ced-10,0
tsg-101,1
unc-33,0
M57.2,1
M57.1,4
B0212.3,4
nstp-6,2
osm-9,5
sre-5,9
otpl-1,2
Y37E11B.2,0
Y37E11B.1,1
blos-7,0
taf-2,1
Y37E11B.5,1
Y37E11B.6,0
Y37E11B.7,4
Y37E11B.10,6
kgb-2,6
ZC416.6,4
cha-1,2
unc-17,2
ZC416.2,3
madf-9,5
CC8.3,12
CC8.2,2
Y37E11AL.6,1
map-1,1
taf-6.2,1
Y37E11AL.3,1
Y37E11AL.2,4
Y37E11AL.9,9
Y37E11AL.1,5
Y37E11AM.3,1
Y37E11AM.2,1
smgl-2,1
nape-2,1
nape-1,6
siah-1,0
ugt-45,4
best-20,6
vab-2,1
glct-6,2
K09B3.1,5
osm-3,2
algn-14,4
M02B7.2,1
fbxc-47,4
M02B7.7,1
bris-1,1
F28F9.3,3
cal-3,3
F28F9.2,0
zag-1,0
aat-8,4
F37C4.4,2
F37C4.5,2
F37C4.6,4
F37C4.8,6
oac-22,12
oac-21,9
F56D6.9,10
F56D6.8,3
dct-8,11
srz-62,14
F56D6.22,8
F56D6.18,8
srz-20,5
F56D6.14,8
srz-19,5
clec-67,5
clec-71,10
Y46C8AL.11,6
clec-72,3
clec-73,12
clec-74,8
clec-75,3
clec-76,9
clec-79,6
srh-220,14
srh-222,14
srh-223,6
clec-78,1
F47C12.6,8
F47C12.13,8
F47C12.8,15
W02C12.2,7
hlh-30,0
F35F11.3,14
F35F11.2,6
cdc-73,1
pcn-1,0
wrt-5,1
ilys-6,6
fbxb-55,10
pqn-75,4
W03D2.9,2
C35B1.8,3
C35B1.4,6
C35B1.9,6
C35B1.5,0
C35B1.2,1
ubc-1,2
C35B1.7,3
F49F1.14,3
drd-50,11
F49F1.5,2
mul-1,2
F49F1.7,3
F49F1.8,8
F49F1.17,6
F49F1.10,10
F49F1.18,3
R07C12.3,9
R07C12.1,3
K08D10.10,6
K08D10.14,3
scrm-5,9
K08D10.13,8
rnp-2,0
rnp-3,0
dnj-15,0
tsen-34,1
K08D10.11,8
K06B9.6,4
pax-2,5
F30B5.4,1
F30B5.11,6
srbc-70,8
zipt-2.2,12
dpy-13,3
col-34,0
ttr-20,1
ama-1,0
col-33,2
F36A4.5,6
F36A4.4,9
F36A4.3,8
F36A4.2,5
F36A4.1,5
nhr-78,1
F15E6.6,3
srv-4,3
F15E6.5,2
dct-7,8
F15E6.4,3
F15E6.10,2
F15E6.9,3
F15E6.3,3
lgc-22,2
set-9,4
Y24D9B.1,9
trpl-2,3
W03B1.3,4
oac-51,1
oac-52,5
sars-2,1
F55F10.3,8
F55F10.1,1
tald-1,0
rpl-7A,7
set-21,4
ell-1,1
Y24D9A.5,6
Y24D9A.6,8
Y24D9A.7,10
str-185,9
R08C7.8,6
R08C7.4,3
fbxb-74,1
fbxb-75,1
wapl-1,0
htz-1,7
chat-1,0
R08C7.12,1
R08C7.1,4
M01H9.2,2
M01H9.5,4
M01H9.3,0
M01H9.4,7
trx-3,2
gbb-2,7
ZK180.7,7
ZK180.3,0
ZK180.8,3
sar-1,0
ZK180.5,2
ZK180.6,3
ZK185.3,2
ZK185.4,5
ZK185.2,2
ZK185.5,3
ZK185.1,4
igeg-1,2
F28E10.4,6
F28E10.1,7
F28E10.5,6
F19C7.6,8
F19C7.5,4
F19C7.3,7
F19C7.2,4
F19C7.4,6
F19C7.1,2
col-110,3
F19C7.8,7
R105.1,8
R105.5,10
F29B9.8,2
F29B9.7,6
ubc-9,0
F29B9.5,1
psr-1,1
col-111,7
mrps-21,0
F29B9.11,0
jmjd-1.2,0
F29B9.1,1
F29B9.12,2
T22B11.4,2
bus-4,2
T22B11.1,3
ogdh-1,0
cif-1,0
yars-2,1
miro-1,1
K08F11.1,4
fbxb-78,0
hoe-1,1
timm-17B.1,0
tctn-1,7
cyc-2.1,7
rpl-20,7
Y17G9B.5,1
Y17G9B.4,3
fbxb-77,0
Y17G9B.11,0
Y17G9B.8,0
memi-1,4
cyp-31A3,3
Y17G9B.2,0
npp-26,4
R11E3.2,4
R11E3.19,9
set-15,1
nhr-104,2
R11E3.1,4
eor-1,0
dpf-7,1
dpf-5,1
H06H21.11,1
ubxn-6,1
eif-1.A,0
srw-95,6
srw-94,5
H06H21.8,9
tat-2,3
Y17G9A.2,8
Y17G9A.3,10
Y17G9A.4,3
str-173,2
str-172,8
str-175,5
str-174,5
str-166,9
T08B6.1,10
T08B6.5,3
T08B6.4,8
str-156,9
str-155,5
Y9C9A.8,3
str-153,6
fbxa-86,10
str-168,3
Y9C9A.5,3
str-169,11
str-163,5
str-164,5
Y9C9A.1,8
Y9C9A.13,3
srz-28,9
Y9C9A.16,3
E03H12.5,9
srz-24,5
E03H12.9,10
str-162,8
ssp-9,3
ssq-2,7
ssp-11,6
pes-1,2
srm-1,2
T28H11.7,4
ssq-4,4
T28H11.8,6
C09B9.85,3
C09B9.2,9
C09B9.1,3
hot-9,2
msp-55,11
C09B9.7,11
msp-57,9
msp-53,10
rmd-6,3
C02B10.5,0
ivd-1,4
snpn-1,1
C02B10.4,0
C02B10.3,0
AC7.3,15
tkr-3,2
soc-2,0
C24D10.5,1
C24D10.49,5
C24D10.6,0
C24D10.4,1
nspd-3,6
C24D10.2,6
nspd-6,9
C24D10.1,6
lam-1,7
W03F8.4,0
W03F8.3,1
W03F8.6,2
gpa-18,5
tni-4,2
Y59E9AL.36,1
nbet-1,0
Y59E9AL.4,6
Y59E9AR.10,9
ttbk-2,8
F36H12.17,3
F36H12.3,10
F36H12.2,9
nlp-47,2
msp-51,15
ZK354.6,9
ZK354.7,8
ZK354.8,6
ZK354.3,4
ZK354.2,11
Y4C6B.5,2
Y4C6B.4,3
Y4C6B.3,3
Y4C6B.2,5
gba-4,3
Y4C6B.7,13
Y4C6B.1,1
hda-6,0
F41H10.5,3
F41H10.4,1
sand-1,0
F41H10.3,0
elo-5,6
F41H10.2,5
F41H10.1,2
F41H10.12,3
elo-6,7
htp-1,3
ZK616.5,3
perm-3,0
swsn-6,0
ZK616.3,1
ZK616.2,4
ZK616.1,7
ZK616.61,9
ZK616.65,3
ZK616.8,12
spp-7,1
ehn-3,2
mgl-3,5
Y4C6A.3,4
Y4C6A.4,10
Y52D5A.2,9
rme-2,3
T11F8.4,6
T11F8.1,2
T11F8.12,2
T11F8.5,6
snpc-3.1,3
puf-7,4
B0273.115,4
B0273.1,5
unc-5,0
fem-1,1
drp-1,0
T12E12.3,1
cec-6,1
T12E12.1,1
T12E12.6,3
fkh-7,0
C39H7.4,2
srsx-16,5
srsx-15,6
srd-12,9
C39H7.1,6
srd-13,9
srd-8,6
csn-5,1
skn-1,1
clec-178,2
bec-1,1
T19E7.6,7
