,leiden
F56D5.6,2
F56D5.5,3
srxa-2,5
F59B8.1,5
idh-1,0
F38E11.9,1
hsp-12.3,7
hsp-12.6,5
cutl-17,7
cpin-1,1
copb-2,0
F38E11.6,2
wrt-3,2
cng-3,5
gadr-2,2
sru-2,9
sru-1,9
sru-6,9
sru-3,5
sru-4,8
ugt-21,2
ttr-9,6
ethe-1,1
C33A12.4,7
C33A12.3,0
C33A12.19,5
nlp-35,2
C33A12.1,0
elo-1,1
F56H11.6,8
elo-7,12
F56H11.2,2
fbl-1,13
T05A1.5,3
lron-14,2
col-122,3
npr-2,2
trcs-1,2
F27C8.5,12
spp-18,2
F27C8.3,2
F27C8.2,7
aat-1,7
elt-1,1
W09C2.7,11
W09C2.8,11
W09C2.10,11
mca-1,1
del-2,7
F58G6.8,5
amph-1,0
srm-3,5
F58G6.9,2
F58G6.3,3
F58G6.7,3
acc-1,7
nhr-34,0
ins-7,6
ZK1251.3,3
msp-76,4
sdz-36,3
twk-9,5
dcaf-1,1
dph-3,1
ant-1.3,4
nhr-38,5
K01H12.4,3
nhr-138,2
nhr-100,1
cka-1,2
C28D4.10,3
gln-6,2
C28D4.7,6
nhr-97,2
ssp-36,6
msp-78,6
cav-1,7
sna-2,0
T13F2.6,4
sre-4,5
T13F2.4,12
pis-1,1
T13F2.2,1
fat-4,1
fat-3,1
dct-15,9
egl-20,4
catp-6,1
col-123,10
mtr-4,0
msp-81,8
kin-24,3
msp-56,11
K07F5.17,3
nspd-2,8
K07F5.6,8
K07F5.8,2
ssp-10,10
ssq-1,7
K07F5.12,4
npp-1,0
K07F5.14,0
K07F5.16,1
K07F5.15,0
nhr-4,0
F32B6.3,1
mccc-1,0
F32B6.10,2
F32B6.4,3
sss-1,6
msp-77,10
tbc-3,0
best-13,1
bed-3,2
dur-1,13
F25H8.1,1
F25H8.2,0
spe-29,4
gon-1,2
T13H10.2,2
kin-5,6
C47E12.11,6
C47E12.12,5
C47E12.14,6
dhp-2,0
C47E12.7,1
mam-2,2
uba-1,0
pyp-1,0
C47E12.3,1
C47E12.2,0
sars-1,0
C47E12.13,4
magu-4,2
F44D12.2,2
ent-7,5
F44D12.19,10
F44D12.8,3
gipc-2,2
F44D12.6,3
dhs-31,8
frk-1,5
T04B2.3,2
T04B2.8,10
srv-12,12
T04B2.7,6
ipla-7,2
cwn-2,1
W01B6.3,11
W01B6.4,10
W01B6.5,10
W01B6.6,8
W01B6.8,8
col-2,4
ndc-80,0
ttr-39,5
C04G2.2,3
C04G2.5,3
msp-36,3
dis-3,1
egl-38,2
spch-1,6
C04G2.9,3
C04G2.10,4
irld-21,5
ctf-18,0
gtbp-1,0
K08F4.3,1
glt-3,2
K08F4.5,10
K08F4.12,15
gst-3,2
gst-2,6
gst-4,0
dhs-12,4
T14G10.8,4
hpo-5,1
tsp-12,0
T14G10.5,0
ttr-54,1
ttr-53,2
pps-1,5
pxf-1,0
rack-1,7
mspn-1,1
gta-1,7
ptp-4,0
gon-4,1
K04D7.6,5
abt-1,10
qns-1,1
col-124,11
tram-1,0
C24F3.2,1
nas-12,2
F01G10.6,2
ech-9,5
ech-8,4
lipl-7,7
tkt-1,1
F01G10.10,2
daf-14,1
F01G10.9,4
nspd-7,9
Y43C5A.2,2
Y43C5A.3,5
Y43C5A.7,2
Y43C5A.4,3
thk-1,0
rad-51,1
ebax-1,0
R09E10.6,9
R09E10.13,4
R09E10.5,7
R09E10.8,9
acs-18,14
R09E10.1,3
unc-43,0
Y43C5B.3,3
R11A8.1,3
gkow-1,1
ugt-59,7
sir-2.1,0
pges-2,1
iars-1,0
mpz-5,4
R11A8.7,0
lpd-8,0
R10H10.3,2
spe-26,3
R10H10.4,5
gpa-7,2
R10H10.6,1
R10H10.7,4
F13B12.6,1
F13B12.1,0
F13B12.2,3
ins-1,7
F13B12.3,3
F13B12.7,3
F13B12.4,2
F01D4.8,9
srb-17,9
mec-3,7
ugt-43,6
ugt-44,3
bgnt-1.1,5
egl-21,7
F01D4.5,1
ced-5,1
tax-6,0
C02F4.4,2
cal-4,2
T07G12.2,5
T07G12.3,3
T07G12.5,10
zim-1,3
zim-2,9
zim-3,4
him-8,4
efn-2,0
lgc-43,4
oac-8,9
C43F9.4,6
C43F9.5,3
nkb-2,5
C43F9.7,5
C43F9.11,7
R09H10.1,8
R09H10.2,3
R09H10.3,1
R09H10.6,3
ptr-14,2
R09H10.7,3
R09H10.5,2
F56C4.4,5
F56C4.1,2
F56C4.2,6
glb-19,5
K08C7.1,2
fmo-1,2
K08C7.7,1
epi-1,7
K08C7.4,7
fmo-2,4
K08C7.6,13
R102.1,5
R102.2,5
R102.4,1
R102.5,0
R102.11,7
R102.6,3
R102.10,3
glb-21,5
ncx-3,0
ZC168.2,2
orc-5,1
cyb-1,0
grl-21,3
ssp-34,8
T25B9.3,1
T25B9.1,2
T25B9.2,6
T25B9.4,11
T25B9.6,3
ugt-54,4
T25B9.11,5
T25B9.12,5
T25B9.8,0
T25B9.9,1
inpp-1,0
swt-3,7
srd-7,12
pept-2,5
zipt-2.1,2
miz-1,0
npax-3,6
best-15,3
T11G6.5,1
T11G6.4,2
T11G6.3,3
T11G6.2,1
hars-1,0
rbm-22,0
F13E9.1,1
F13E9.11,7
F13E9.12,5
sdz-13,3
F13E9.13,4
F13E9.10,6
F13E9.16,9
F13E9.15,5
F13E9.14,3
F13E9.8,9
F13E9.4,15
F13E9.19,11
ZK596.1,9
ZK596.3,2
ZK596.2,6
pyk-2,2
ZK593.2,6
ZK593.3,3
rbr-2,0
dnc-1,0
lsm-7,0
lgg-2,0
fic-1,1
Y69E1A.1,6
Y69E1A.2,11
Y69E1A.4,2
Y69E1A.5,7
sri-19,2
aqp-3,8
Y43E12A.2,2
cyb-2.1,3
Y43E12A.3,3
F13H10.5,7
F13H10.9,2
F13H10.1,5
F13H10.6,2
ndx-9,1
F13H10.3,1
mogs-1,1
F13H10.8,1
alh-3,2
hrg-5,3
hrg-4,4
hrg-6,3
fkb-1,0
kdin-1,1
F36H1.11,7
F36H1.3,2
lin-3,2
ttr-16,7
ttr-17,13
Y5F2A.4,1
atg-7,0
let-70,0
klc-1,2
bcc-1,5
M7.7,9
M7.8,2
M7.12,2
M7.10,6
T05E11.8,5
hpo-4,4
rps-5,7
T05E11.2,2
imp-2,0
enpl-1,7
spo-11,1
swsn-4,0
ard-1,0
skih-2,1
F01G4.4,4
F01G4.5,1
F01G4.6,0
C08F8.2,1
pfd-1,0
C08F8.3,4
mboa-4,3
C08F8.15,1
fbxb-9,3
C08F8.6,4
nhr-67,7
rap-3,3
C08F8.9,1
cpt-2,0
prx-14,1
nuaf-3,2
sdz-27,1
fbxb-79,10
R07H5.16,6
R07H5.11,4
R07H5.9,3
R07H5.8,0
zip-6,11
C29F4.3,5
col-125,13
best-7,3
C05C12.6,5
C05C12.4,3
gtl-1,4
C05C12.1,4
C05C12.5,5
F54D1.1,5
col-127,6
nhr-7,2
gtl-2,6
F54D1.6,7
mttu-1,4
B0035.15,1
dnj-1,0
B0035.13,3
B0035.1,0
dnj-2,0
B0035.3,1
pfd-4,0
gspd-1,1
B0035.18,3
B0035.6,2
his-47,4
his-48,1
his-45,4
B0035.21,4
leo-1,0
sart-3,1
F54E12.2,1
his-55,6
his-58,3
his-57,1
klp-12,0
T01G1.2,13
T01G1.4,0
sec-31,1
cbd-1,4
fbxb-76,4
tag-89,2
dsl-6,1
his-66,1
his-65,4
memi-3,3
cyp-31A2,4
his-63,4
his-64,1
gfat-2,3
F22B3.5,11
F22B3.8,5
kin-4,0
npr-3,2
C10C6.3,10
C10C6.7,7
C10C6.13,8
wht-2,4
catp-8,0
mbf-1,0
H21P03.2,4
sms-1,2
H21P03.10,10
twk-25,5
M04B2.6,7
M04B2.4,1
gfl-1,1
mep-1,0
M04B2.2,4
M04B2.7,5
col-128,6
F12F6.7,0
sec-24.1,0
srgp-1,0
rib-1,1
F12F6.1,0
F40F11.4,3
F40F11.3,1
mig-38,0
rps-11,7
ragc-1,1
Y24F12A.1,1
dsl-5,6
lys-4,2
lys-5,3
lys-6,3
F58B3.4,1
mars-1,0
F58B3.6,0
F58B3.7,0
ttr-50,7
ZK809.1,8
prx-2,4
ZK809.8,13
acl-3,4
ZK809.3,0
ent-1,1
ZK809.5,0
ZK792.1,1
ZK809.9,4
atg-4.2,0
inx-8,11
inx-9,6
ZK792.4,2
ZK792.5,0
let-60,0
ZK792.12,8
ZK792.7,0
dpy-20,8
alg-3,10
magi-1,0
K01A6.6,7
K01A6.8,5
K01A6.7,5
K01A6.4,10
K01A6.5,4
gem-4,1
T12A7.6,2
T12A7.7,4
scl-18,8
T12A7.2,2
lips-5,10
lpr-2,2
H01G02.3,13
dyf-18,7
H01G02.4,3
H01G02.1,2
M117.1,0
par-5,7
M117.3,6
M117.6,4
M117.4,5
fbxb-3,4
F38H4.3,2
F38H4.6,10
F38H4.4,3
tag-30,0
F38H4.5,8
ech-2,1
let-92,0
mob-1,1
trpa-1,1
pph-2,8
cutl-27,5
let-653,1
nhr-43,2
VZK822L.2,2
fat-6,2
ZK822.9,8
ZK822.1,7
ZK822.2,1
ZK822.6,5
ZK822.4,5
nhx-9,2
ZK822.5,2
ZK829.1,9
ZK829.3,2
hdl-1,3
tbx-36,5
gdh-1,0
tgt-1,1
ZK829.7,0
srj-1,8
ZK829.9,1
unc-22,13
spe-17,12
lips-6,5
tgn-38,1
T12G3.11,9
T12G3.6,4
mrpl-51,1
sqst-1,0
T12G3.2,0
T12G3.4,7
bre-5,1
spt-5,0
K08E4.2,3
K08E4.3,2
K08E4.8,12
bath-37,5
K08E4.7,9
K08E4.6,1
lex-1,0
repo-1,0
F11A10.7,0
F11A10.6,0
mig-32,1
cpsf-4,0
F11A10.5,1
mon-2,1
M18.3,4
col-129,10
dlc-2,13
ddb-1,1
M18.6,0
aly-3,0
dhhc-6,0
lin-24,2
B0001.4,1
B0001.8,1
B0001.5,1
B0001.3,1
B0001.2,4
B0001.7,4
eri-12,0
F20B10.3,2
nlr-1,0
F35G2.1,1
marb-1,1
F35G2.3,4
phy-2,7
F35G2.5,2
mlt-3,2
sre-18,6
sre-16,3
sre-19,9
sre-15,9
dnj-26,9
Y39C12A.9,1
sre-14,2
C42C1.2,1
rpl-34,7
C42C1.3,3
C42C1.4,2
tag-335,1
C42C1.13,1
C42C1.11,1
C42C1.12,1
hpo-12,1
erl-1,1
C42C1.9,3
C42C1.8,4
oac-59,5
oac-57,3
oac-58,3
F19B6.3,6
ufd-1,0
F19B6.1,1
wht-5,4
best-22,5
sec-24.2,1
ccr-4,0
ZC518.8,6
ZC518.4,8
wdr-46,0
F28D1.2,7
thn-1,6
thn-3,6
thn-2,6
F28D1.6,5
spe-45,4
rps-23,7
dpm-3,0
acs-20,0
gex-3,0
dsb-1,4
acl-13,6
F08G5.3,13
ugt-65,5
col-130,13
clec-184,9
irg-4,11
clec-185,9
C25G4.17,9
C25G4.2,0
C25G4.3,0
dpy-26,0
spe-44,4
smz-1,6
C25G4.7,6
igdb-2,4
sru-26,5
him-6,4
sru-20,3
sru-17,12
F53B2.1,6
tsp-4,3
sru-13,5
eak-4,6
F53B2.8,2
F53B2.5,3
ham-1,7
impk-1,4
ZK795.2,6
ZK795.3,1
snb-7,3
eak-7,1
hsb-1,0
let-99,4
K08E7.4,6
K08E7.5,2
K08E7.6,2
K08E7.8,7
cul-6,5
pgp-1,3
Y55D9A.2,1
efa-6,0
ark-1,0
vha-7,4
wdfy-3,1
T23B5.4,1
prmt-9,1
T23B5.3,1
C27D8.4,1
C27D8.3,4
C27D8.2,3
T23F6.1,2
T23F6.2,11
T23F6.3,4
rbd-1,0
T23F6.5,2
C36H8.1,3
inx-6,2
flp-9,7
ZK897.10,4
unc-31,1
F07C6.3,5
F07C6.2,3
F07C6.6,9
pin-2,4
F07C6.4,7
M02B1.4,6
M02B1.3,0
M02B1.2,1
srf-3,2
nstp-5,4
gcy-18,5
clec-186,8
clec-187,6
ZK896.1,8
ZK896.5,3
ZK896.4,10
K08D8.6,3
K08D8.1,6
K08D8.12,10
K08D8.7,9
K08D8.9,3
K08D8.10,6
K08D8.2,10
K08D8.3,3
K08D8.4,3
K08D8.5,9
irg-6,12
C32H11.3,10
C32H11.4,2
C32H11.5,2
C32H11.6,6
C32H11.7,4
dod-24,5
F55G11.1,12
F55G11.10,6
F55G11.7,3
F55G11.8,4
dod-22,8
F55G11.2,3
F55G11.4,3
dod-17,4
K10D11.2,6
K10D11.3,3
K10D11.6,11
K10D11.5,10
K10D11.4,6
K10D11.7,2
mbk-2,0
F49E11.2,1
amt-2,5
scl-10,12
scl-11,10
scl-1,10
scl-2,3
scl-3,2
scl-5,9
col-131,2
scl-6,3
scl-7,9
scl-8,5
C39E9.7,9
C39E9.8,3
spin-2,2
col-132,4
C39E9.11,0
C39E9.12,1
rfc-3,0
dli-1,0
tin-9.2,6
exos-4.1,1
B0564.7,1
rde-11,1
B0564.2,4
best-1,3
best-2,8
unc-30,7
F09E8.1,4
F09E8.8,2
F09E8.2,0
msh-5,2
scl-14,6
nas-14,3
lev-1,13
F58D2.3,4
F58D2.4,4
F58D2.5,4
F58D2.2,4
C48D1.1,1
ced-3,4
C48D1.9,6
cho-1,5
C48D1.5,2
JC8.2,0
tag-115,1
rpl-12,7
lin-54,1
JC8.4,1
cox-11,1
JC8.7,1
ttr-51,2
ttr-45,2
bus-12,0
JC8.16,2
unc-26,1
cpsf-3,0
Y67H2A.10,0
Y67H2A.2,0
micu-1,0
kdp-1,7
csn-6,1
Y67H2A.7,1
fat-1,1
fat-2,4
far-6,2
pqn-74,2
W02A2.5,6
W02A2.9,4
rec-8,4
mex-5,4
W02A2.8,10
Y62E10A.3,9
srsx-25,5
agt-1,1
rla-2,7
Y62E10A.2,0
Y62E10A.6,0
mau-8,0
emc-3,0
rab-19,0
Y62E10A.20,4
mdt-9,0
lsm-3,0
Y62E10A.13,1
memi-2,3
cyp-31A5,6
Y62E10A.19,2
gcl-1,2
aptf-2,1
pik-1,4
nol-9,1
K09B11.4,4
K09B11.5,15
mam-3,4
uso-1,0
Y38H8A.7,9
fezf-1,4
Y38H8A.4,10
Y38H8A.3,11
Y38H8A.2,8
tbc-9,1
Y38H8A.1,4
Y45F10A.7,2
nlp-17,7
seld-1,4
afmd-2,4
puf-3,3
dcap-2,0
rsd-2,1
F52G2.3,3
Y45F10B.13,7
qui-1,2
srd-10,3
Y45F10B.8,10
sru-16,10
sru-9,8
Y45F10B.9,12
Y45F10B.59,2
C08F11.13,4
C08F11.1,5
sru-21,8
fbxa-98,10
C08F11.7,10
ugt-22,4
srz-29,5
ule-4,5
C08F11.10,12
Y45F10C.6,11
Y45F10C.1,6
Y45F10C.4,8
fbxa-215,4
oac-48,11
nyn-1,4
T23G4.2,3
T23G4.127,3
tlp-1,7
C47A4.1,6
ent-4,5
C47A4.3,9
sorb-1,0
Y45F10D.2,8
rpl-18,7
gly-10,0
lact-9,1
Y45F10D.4,0
Y45F10D.10,2
sas-6,1
Y45F10D.7,1
Y45F10D.14,3
Y45F10D.15,3
rga-5,2
H08M01.1,8
vamp-8,3
B0513.5,13
B0513.4,4
rpl-29,0
thoc-7,0
lin-66,0
Y37A1A.3,2
Y37A1A.2,4
Y37A1A.4,1
Y37A1B.17,1
gei-18,5
tor-2,5
tor-1,5
egl-23,5
srw-63,14
irld-56,14
irld-55,4
Y37A1B.7,2
Y37A1B.5,4
Y37A1B.4,6
lst-4,7
ccar-1,0
cfp-1,0
F52B11.2,1
noah-2,1
col-133,10
F52B11.5,4
ins-34,1
nkcc-1,1
H12I19.115,11
srz-42,5
srz-59,3
srz-31,8
oac-37,10
oac-38,8
R05A10.8,15
R05A10.7,5
R05A10.4,5
R05A10.3,5
R05A10.2,5
R05A10.1,9
K01G12.3,10
F02H6.2,3
F02H6.3,6
sqrd-1,0
F02H6.6,8
Y64G10A.10,8
Y64G10A.2,10
srab-24,5
ilcr-1,2
Y64G10A.7,0
fbxa-126,8
fbxa-83,1
Y67A10A.3,10
Y67A10A.11,9
Y67A10A.10,5
oac-56,3
ssu-2,2
Y67A10A.7,2
paqr-3,5
Y67A10A.9,2
xhd-1,2
F55B11.7,8
F55B11.2,6
F55B11.3,8
F55B11.4,5
tra-3,4
LLC1.2,2
dld-1,0
Y57G11A.4,3
tag-273,0
Y57G11A.5,5
Y57G11A.2,12
T27E7.1,6
T27E7.4,14
T27E7.9,6
pals-30,6
Y57G11B.6,2
Y57G11B.2,2
glb-34,7
Y57G11B.3,6
Y57G11B.5,10
Y57G11B.223,10
dmd-6,0
irld-4,8
ule-2,2
Y57G11C.39,7
Y57G11C.32,2
Y57G11C.33,1
anoh-2,0
Y57G11C.31,1
Y57G11C.40,7
Y57G11C.41,3
lgc-7,3
lgc-8,3
Y57G11C.42,2
Y57G11C.6,8
Y57G11C.5,2
vti-1,0
mrps-7,0
Y57G11C.3,1
Y57G11C.43,0
Y57G11C.44,5
Y57G11C.36,1
Y57G11C.51,4
Y57G11C.8,4
Y57G11C.1130,4
nlp-56,7
Y57G11C.9,0
gdi-1,0
coq-3,0
nuo-3,7
arl-8,0
Y57G11C.14,4
oig-5,2
Y57G11C.46,2
sec-61,7
rps-18,7
hhat-2,1
Y57G11C.22,0
Y57G11C.20,2
Y57G11C.52,3
Y57G11C.23,11
Y57G11C.38,5
eps-8,1
pnc-2,7
ccch-5,3
Y57G11C.1131,4
Y57G11C.1144,3
Y57G11C.30,10
Y57G11C.48,15
Y41E3.22,5
Y41E3.1,1
atln-2,2
dpy-4,9
Y41E3.6,5
qars-1,0
Y41E3.7,0
fcd-2,4
Y41E3.8,0
eef-1B.2,0
hrpu-1,1
srt-47,5
Y41E3.19,8
srt-50,9
srt-44,9
M199.2,1
clec-189,9
M199.7,4
col-135,10
M199.8,8
srg-51,2
str-78,9
Y40H7A.4,2
srd-23,5
sra-30,10
Y40H7A.10,11
pkd-2,3
lgc-52,2
Y73F8A.36,3
Y73F8A.5,0
ccg-1,13
best-21,10
Y73F8A.13,0
tbx-39,10
cpna-4,5
Y73F8A.1159,6
nhr-5,9
Y73F8A.22,8
Y73F8A.23,9
Y73F8A.24,1
ntl-11,1
Y73F8A.27,1
Y73F8A.26,7
acr-24,5
Y73F8A.32,3
tag-349,0
Y73F8A.35,3
Y105C5A.1,1
Y105C5A.508,12
pqn-78,6
Y105C5A.10,6
Y105C5A.13,8
Y105C5A.1268,1
Y105C5A.1272,4
Y105C5A.15,5
Y105C5A.1285,8
Y105C5A.1273,11
daf-38,5
Y105C5A.1270,10
Y105C5A.1269,10
Y105C5A.24,3
Y105C5B.1,14
gcy-25,5
srv-14,12
Y105C5B.5,12
srv-15,12
Y105C5B.8,14
Y105C5B.9,4
srv-16,8
Y105C5B.11,8
skr-10,1
Y105C5B.14,11
Y105C5B.15,6
Y105C5B.17,8
Y105C5B.19,2
Y105C5B.20,4
jac-1,0
Y105C5B.1418,8
hlh-32,7
Y105C5B.25,5
gln-3,7
Y7A9A.1,12
hpa-1,14
srw-61,9
hlh-17,2
hlh-31,3
F38C2.4,5
F38C2.7,3
ccch-2,3
rac-2,11
srz-61,14
srz-105,14
K03D3.2,9
srz-74,5
srz-71,9
C35D6.13,14
C35D6.3,9
C35D6.4,3
Y7A9D.1,7
Y65A5A.24,6
Y65A5A.1,7
Y65A5A.2,3
Y10G11A.1,2
dlc-3,6
dlc-4,6
VY10G11R.1,6
Y51H4A.1,0
Y51H4A.938,6
rho-1,0
Y51H4A.2,6
zip-7,1
Y51H4A.935,3
Y51H4A.5,3
Y51H4A.6,9
Y51H4A.7,2
Y51H4A.8,3
col-137,10
fipr-27,8
Y51H4A.13,6
set-26,1
Y51H4A.15,0
sta-1,1
Y51H4A.22,6
Y51H4A.25,9
Y51H4A.24,3
Y43D4A.1,6
Y43D4A.2,12
Y43D4A.5,5
Y43D4A.6,3
clec-193,6
Y116A8A.2,3
Y116A8A.6,3
clec-194,5
Y116A8A.150,8
map-2,0
mel-46,1
lsy-13,0
T06A10.3,1
T06A10.107,4
T06A10.106,9
T06A10.2,10
Y116A8C.3,1
Y116A8C.469,11
Y116A8C.468,8
Y116A8C.463,8
nep-23,10
nep-24,3
Y116A8C.49,6
Y116A8C.10,1
Y116A8C.9,1
arf-6,1
Y116A8C.13,4
rom-3,6
rom-4,1
dct-13,3
Y116A8C.19,3
Y116A8C.20,3
athp-3,3
Y116A8C.44,6
Y116A8C.24,3
Y116A8C.25,4
snx-13,0
snr-1,0
Y116A8C.43,4
Y116A8C.27,0
Y116A8C.29,4
bca-2,0
Y116A8C.30,0
sfa-1,1
cyn-13,0
Y116A8C.33,3
uaf-2,0
itsn-1,0
Y116A8C.38,8
Y116A8C.40,5
skr-13,1
skr-9,1
skr-8,1
skr-12,1
C52D10.3,2
flp-17,12
cnnm-1,1
Y116A8B.1,1
npr-32,2
ZK550.2,8
ZK550.3,0
ZK550.4,1
ZK550.6,1
str-187,9
atgp-1,0
gln-5,4
lhfp-4,2
clec-196,0
hsp-1,0
nra-1,1
zipt-7.1,3
slc-17.4,2
T28F3.5,2
ifta-2,7
T28F3.8,2
T28F3.9,5
snf-9,12
C49C3.4,2
ceh-88,1
C49C3.6,1
C49C3.7,0
C49C3.15,1
C49C3.8,0
C49C3.10,3
C49C3.9,3
C49C3.21,2
C49C3.11,6
clec-197,6
clec-198,14
clec-199,14
clec-202,12
zipt-22,3
nlp-54,2
C30H6.5,5
haf-1,4
C30H6.9,1
dlat-2,0
C30H6.8,0
C30H6.12,2
T02D1.8,13
T02D1.4,5
pmp-4,3
T02D1.7,11
T02D1.9,10
npr-26,5
C06A12.3,4
lact-6,9
gcy-27,5
C06A12.8,8
C06A12.19,5
F08A7.1,3
F11E6.11,3
F11E6.8,2
F11E6.7,1
F11E6.10,2
F11E6.6,3
elo-2,1
F11E6.4,4
F11E6.3,2
gba-3,7
F11E6.9,2
grl-24,10
4R79.2,5
nas-6,1
fbxa-6,3
npr-30,3
nhr-80,4
H10E21.1,3
H10E21.4,2
H10E21.5,1
W05G11.4,2
col-88,3
W05G11.2,3
btb-5,3
pck-1,7
spt-4,0
attf-3,4
F54C4.4,0
mrpl-40,1
pat-4,0
C29F9.6,3
pals-24,3
C29F9.12,4
pals-23,3
nhr-280,4
C29F9.2,2
pals-22,1
pals-25,1
fbxb-81,2
fbxb-82,4
fbxb-83,1
T17A3.12,1
fbxb-84,1
sqst-5,3
T17A3.10,8
ver-1,3
F40G9.18,4
F40G9.9,3
F40G9.12,4
F40G9.19,8
clec-148,3
F40G9.14,4
F40G9.6,0
F40G9.15,0
F40G9.5,1
mxl-2,1
ubc-20,0
cox-17,1
sec-20,1
F40G9.17,4
W10C4.1,2
klp-20,1
hpo-38,4
hpo-29,0
Y50D7A.3,4
Y50D7A.11,6
xpd-1,4
taco-1,1
Y50D7A.13,3
Y50D7A.1,4
ads-1,1
Y50D7A.10,0
Y50D7A.8,4
gei-4,0
pll-1,4
gsto-3,2
Y55B1BL.1,0
stim-1,4
cec-8,0
Y55B1BR.2,1
Y55B1BR.1,7
Y55B1BR.6,7
magu-1,4
F10C5.2,1
mat-3,0
nlp-32,3
F30H5.5,5
unc-45,1
F30H5.3,2
T22F7.5,2
T22F7.3,10
T22F7.4,3
T22F7.1,2
B0353.1,3
Y55B1AL.1,1
Y55B1AL.2,1
helq-1,1
Y55B1AR.2,1
lec-6,2
Y55B1AR.4,10
ttr-7,3
best-17,3
T19C3.3,2
T19C3.2,2
T19C3.4,0
T19C3.5,2
T19C3.6,6
fem-2,1
T19C3.7,3
sbds-1,0
tag-266,1
tag-267,1
W06E11.1,4
orai-1,0
C09F5.1,2
C09F5.3,2
grk-2,2
W02B3.4,3
W02B3.7,6
elf-1,2
C24A1.3,1
flp-24,5
pat-12,2
T17H7.1,6
T17H7.7,2
nlp-52,3
ptl-1,2
tpst-2,3
cyn-6,0
alh-11,1
dagl-2,1
F42G9.1,0
snt-2,4
rps-29,0
trpp-11,1
daf-7,7
dac-1,7
clec-149,2
ceeh-1,2
zip-2,0
dos-3,3
K02F3.9,13
far-8,9
K02F3.2,4
moma-1,0
rnp-5,1
tag-51,1
K02F3.12,1
exos-4.2,1
arx-4,0
T24C4.2,1
T24C4.3,2
T24C4.4,4
T24C4.8,4
T24C4.5,4
ucr-2.3,4
zer-1,0
ztf-18,0
F23H11.2,1
sucl-2,0
F23H11.4,1
crls-1,0
F23H11.5,0
bra-2,0
F23H11.6,3
F23H11.7,2
pef-1,2
fbxa-55,9
fbxa-59,2
fbxa-60,9
fbxa-23,4
fbxa-67,1
fbxa-11,4
fbxa-10,1
T12B5.15,6
T12B5.14,10
fbxa-54,3
fbxa-51,11
R06B10.2,12
tbc-10,1
trp-2,4
clec-150,3
Y34F4.6,5
Y34F4.2,5
Y34F4.1,8
Y34F4.4,10
Y34F4.5,2
E_BE45912.2,4
chin-1,1
BE0003N10.1,1
BE0003N10.3,4
BE0003N10.6,3
uaf-1,0
rab-18,0
kbp-4,1
par-2,1
exc-6,2
F58B6.1,3
acsd-1,4
lgc-46,5
smr-1,0
cdh-12,1
eak-3,5
Y119D3B.13,9
Y119D3B.14,4
dss-1,0
mrpl-45,4
Y119D3B.12,0
orc-3,1
Y119D3B.21,2
pes-4,2
fbxa-21,10
fbxa-61,3
fbxa-63,5
fbxa-76,4
fbxa-77,4
fbxa-91,4
fbxa-78,6
fbxa-92,3
fbxa-32,14
fbxa-31,5
fbxa-29,10
fbxa-37,5
fbxa-75,14
fbxa-79,3
Y82E9BL.12,12
fbxa-20,6
fbxa-80,3
fbxa-15,8
fbxa-14,4
Y82E9BL.18,6
Y82E9BL.19,10
fbxa-5,12
fbxa-27,3
Y82E9BL.6,4
Y82E9BL.5,4
fbxa-25,9
Y82E9BL.3,4
Y82E9BL.2,3
Y82E9BR.8,8
Y82E9BR.9,15
Y82E9BR.7,9
Y82E9BR.20,1
pals-21,6
Y82E9BR.6,0
Y82E9BR.5,3
pals-17,10
pals-16,3
pals-19,3
pals-18,3
Y82E9BR.22,0
Y82E9BR.14,0
elc-1,4
Y82E9BR.3,7
Y82E9BR.16,1
Y82E9BR.2,3
Y82E9BR.17,0
Y82E9BR.1,1
Y82E9BR.18,1
M01G5.3,0
Y82E9BR.19,4
ave-1,1
M01G5.1,4
snf-6,4
Y67D2.4,1
Y67D2.5,4
cisd-3.2,0
ddx-35,1
Y67D2.7,0
Y67D2.2,1
rep-1,0
Y22D7AL.7,1
sms-3,2
Y22D7AL.6,7
Y22D7AL.9,2
Y22D7AL.10,0
hsp-60,0
Y22D7AL.4,2
Y22D7AL.11,12
cht-4,4
Y22D7AL.15,3
Y22D7AL.16,2
Y22D7AR.3,5
glb-30,5
Y22D7AR.6,2
srd-64,5
Y22D7AR.10,10
fbxa-13,1
Y22D7AR.2,8
ser-4,5
Y46E12A.3,2
Y46E12A.5,6
cnc-6,3
tbx-43,2
Y39A3CL.4,4
Y39A3CL.3,2
rimb-1,2
clp-4,1
pvf-1,13
Y39A3CL.7,1
Y39A3CL.1,4
pqn-82,3
hlh-33,10
Y39A3CR.5,3
ddp-1,1
ttc-7,1
smi-1,1
Y39A3CR.8,12
B0524.5,8
B0524.6,3
pqn-41,0
F53A3.1,13
polh-1,4
rps-22,7
F53A3.7,4
mboa-6,0
R155.3,8
R155.4,10
Y39A3B.3,3
lgc-42,8
Y39A3B.1,3
ckr-2,2
dpy-1,3
M01E10.3,6
Y39A3A.2,6
Y39A3A.3,6
cpt-3,6
Y48G9A.9,2
ppk-2,0
Y48G9A.7,5
Y48G9A.11,12
Y48G9A.6,11
frl-1,1
gcn-1,1
Y48G9A.12,6
C39B5.6,4
C39B5.5,6
fbxa-38,3
fbxa-62,11
fbxa-47,3
C39B5.2,0
