,ward_cluster0,ward_cluster1,ward_cluster2,ward_cluster3,ward_cluster4,ward_cluster5,ward_cluster6,ward_cluster7,ward_cluster8,ward_cluster9,ward_cluster10,ward_cluster11,ward_cluster12,ward_cluster13,ward_cluster14,ward_cluster15,leiden_cluster0,leiden_cluster1,leiden_cluster2,leiden_cluster3,leiden_cluster4,leiden_cluster5,leiden_cluster6,leiden_cluster7,leiden_cluster8,leiden_cluster9,leiden_cluster10,leiden_cluster11,leiden_cluster12,leiden_cluster13,leiden_cluster14,leiden_cluster15
ADF,"[6771.825035194126, -201.87357044757437, 0.5631151290514624, 0.6192055041985949, 9937.7374601426]","[-4917.817309290613, 1786.469643030618, -0.9433444148748995, 0.215322074737443, 1729.8098331758306]","[34665.50506576562, 391.2487892937128, 0.9895994649803597, 0.09189673652808672, 5039.050936283257]","[-10910.678730095398, 758.9146053711358, -0.77436224193545, 0.4361417004514632, 8915.272681666069]","[63133.49949610234, 401.25798903778207, 0.9998947645633438, 0.009235915123862147, 915.988758922894]","[-4179.78538908029, 977.4927891574146, -0.9534011235885133, 0.19511196760393892, 1322.7012478635029]","[1554134.9294348124, 455.1207074260409, 0.6976381087254735, 0.5084687227298696, 1596043.0809503207]","[-1121.5381089525497, 857.1769665562871, -0.5194943270121899, 0.6522406881762302, 1844.7266718593603]","[1057462.4794984658, 452.32142571736824, 0.9569288160626047, 0.18752526199411687, 320823.5596657625]","[354017.842809612, 507.3079835408106, 0.720107551530512, 0.48818487994893633, 341115.28338482993]","[2121.151547563454, 391.5799956632565, 0.9998627358003308, 0.010548209086675541, 35.14876341580334]","[4238.334819156774, 366.3831487655362, 0.9575233350671425, 0.18621716964849505, 1276.364083194631]","[1214594.3167650176, 409.98032572237753, 0.9992420534905814, 0.024788019791489355, 47316.488770784774]","[-2351.24732056013, 824.977900459284, -0.5357639974500708, 0.6400473479603764, 3705.582079791296]","[27573.828444393635, 302.3030524901344, 0.9645820089914807, 0.16994066280250614, 7540.583524183774]","[1576938.3024149507, 459.35759237273913, 0.7261924253533059, 0.4825762871542199, 1492898.6308503042]","[-4053.7873568283653, 1932.5804015660842, -0.9625887788287124, 0.17468652424132816, 1141.131692617798]","[11134.786765774434, -285.2063470759541, 0.6023022136709444, 0.5885004432802063, 14757.617453534129]","[2972.555987605633, 297.4053522480506, 0.9883250685980776, 0.09737460897584573, 458.24854505651206]","[60384.33897556396, 347.3125922815019, 0.9947079391658725, 0.06552382578106877, 6237.072671669204]","[50637.980805879946, 223.7891398423776, 0.8181512291425963, 0.3899983262916402, 35588.770093716674]","[2471.666010168946, 437.6633378753563, 0.9804815939292305, 0.1259871441134062, 495.63038101884223]","[883844.1193228845, 373.43882542082144, 0.7028316281166938, 0.5038374475604304, 894564.2252911177]","[-1655.9448473679547, 1278.43977624818, -0.9669763459038982, 0.16406281258480043, 436.4576897983796]","[2954739.4358373038, 455.3095619809777, 0.8887750298185592, 0.3031142329353541, 1523767.1593271391]","[270434.2517876933, 481.3557944943667, 0.8699360022742394, 0.3283199621759315, 153308.5276174802]","[220707.65193864785, 524.5339968703919, 0.305017702056655, 0.8026752343610791, 689108.2007690095]","[-2765403.6153485645, 643.3980186119161, -0.7139668906701461, 0.4937933781893399, 2712000.8517902773]","[643370.2012943649, 478.15197663802996, 0.7495186393417727, 0.4605700207141649, 568231.7525501556]","[97888.22199458972, 288.73823600640196, 0.9103535993954837, 0.27161930928852573, 44498.32211409407]","[1990203.434579439, 515.0, 0.7679881673845752, 0.4425158868425808, 1659730.9281172494]","[nan, nan, 0.0, 1.0, inf]"
ADL,"[15546.606480994045, -1575.17918840232, 0.9399656080089702, 0.06003439199102979, 3991.220466222378]","[-2405.537773157108, 1159.883305436395, -0.9921394314519629, 0.00786056854803707, 214.54150261814368]","[51808.51474519244, 228.88847031981834, 0.7263912641095264, 0.2736087358904734, 34661.721329888904]","[-5391.070775079765, 681.4715165195464, -0.9679075907604415, 0.03209240923955847, 989.7594364073263]","[95200.41151433828, 243.2578958633854, 0.920208051946987, 0.07979194805301303, 28634.62342506765]","[-7899.602465809142, 1329.6985183973202, -0.8821041195164006, 0.11789588048359945, 2982.9194527985123]","[2978798.8427549805, 441.0993681472046, 0.7409071332308073, 0.25909286676919263, 1909316.532731588]","[2726.8768474485273, 40.41429295849639, 0.7355500625681638, 0.264449937431836, 1775.9412593800205]","[1320297.7044035806, 377.25593853809664, 0.3406492477294635, 0.6593507522705366, 2576708.4018608956]","[729408.6425484113, 437.93984484436953, 0.6273684197480899, 0.3726315802519101, 640200.5229405907]","[2245.415076123991, 369.2323966569312, 0.9914353476832934, 0.008564652316706554, 209.1487205306935]","[3147.6401095052843, 359.34413746212135, 0.7525850608384409, 0.24741493916155902, 1947.4530312092777]","[415654.83987225825, 428.0225341233512, 0.830567253151359, 0.16943274684864087, 197076.37266563458]","[-1967.055442261774, 775.582314146932, -0.9572165323925702, 0.0427834676074298, 420.48338583719266]","[3362.3014971044527, 396.9690077869629, 0.9206466682113654, 0.07935333178863456, 1008.1728366419431]","[679522.1769039304, 440.268346085766, 0.6933420741946592, 0.3066579258053408, 499390.7896777611]","[-4050.6531424245304, 1933.475477232363, -0.9948966399616104, 0.005103360038389625, 290.4827837602115]","[-14466.526902296071, 1664.9681310552917, -0.8148324149524615, 0.18516758504753847, 7277.491868743055]","[3144.816232966344, 308.0818159591689, 0.9997717953966739, 0.0002282046033260654, 47.51511818471843]","[92313.0341056193, 266.53022562315385, 0.9452932089576548, 0.054706791042345215, 22526.548028551635]","[-52634.1376817993, 872.7433605179274, -0.3846580621379089, 0.6153419378620912, 89311.46263863983]","[1908.1794024828137, 407.786490104343, 0.9325163398212922, 0.06748366017870774, 522.5269054672932]","[562788.7651718234, 323.7552944736086, 0.7206759437335195, 0.27932405626648027, 382819.5508359044]","[-1618.6233131714816, 1216.7668286671856, -0.9161472139483064, 0.08385278605169355, 500.77047193197194]","[628584.1481168992, 452.84576344297744, 0.7190898412114848, 0.28091015878851516, 429534.72853770055]","[69266.94241032552, 456.14248456406847, 0.7371769833342006, 0.2628230166657993, 44894.483949174566]","[1931614.8903455627, 333.03874589589117, 0.9399157730868597, 0.0600842269131403, 496121.7705860436]","[2879321.1215516008, 388.76106074578, 0.7142351987381603, 0.28576480126183945, 1995140.2365488575]","[1637605.1653116571, 413.89811480017715, 0.7890045745598617, 0.2109954254401382, 901689.3200673288]","[69980.36269240182, 305.57719066621905, 0.9367961358843097, 0.06320386411569033, 18481.187400293285]","[99765.923081291, 462.48944350365093, 0.7221564579737669, 0.27784354202623285, 67572.8729235549]","[786633.614390935, 505.250525095212, 0.049182768456337775, 0.9508172315436623, 11295842.498321995]"
AFD,"[11629.294061077217, -1105.1881983541969, 0.8220701446197076, 0.08765211856987355, 4650.405331108217]","[-2119.547441737782, 1100.999430057353, -0.9889427461441157, 0.001393423563673938, 183.50425808272553]","[77367.74987565355, 269.65922048365906, 0.9083264218295457, 0.032857628919494, 20568.65125444942]","[-8645.88785164334, 792.6457636080253, -0.97719285586214, 0.004120490043334545, 1084.747498228259]","[26068.97152157242, 242.86585460363142, 0.9280242700239212, 0.02292808506161735, 6041.617460666704]","[-138.56111221231436, 480.4630402644977, -0.02072333807986277, 0.973616115170868, 3859.4706788283543]","[27202506.419753086, 422.5, 0.6943530965123124, 0.1932747859146058, 16277206.68065761]","[1870.7169034344674, 204.36965750610602, 0.643001447560125, 0.24187296771515007, 1286.4345428509923]","[-911039.039135516, 595.8862460032939, -0.6028790915334211, 0.28182832900833577, 696077.9815540811]","[510889.8622802604, 388.62977806973277, 0.7964519226591419, 0.10680921221432477, 223948.62190785806]","[1449.898784875565, 351.6313020110177, 0.9460685605427496, 0.014912554058780798, 286.65170044477264]","[5983.117720816522, 276.5226995123377, 0.9451448399399452, 0.015295158141372788, 1193.8596355162936]","[1811478.2314626123, 345.10176177176135, 0.8150362420072067, 0.09279653261741816, 743500.9747625381]","[-1785.8971546398056, 768.2321679320548, -0.9702354323236331, 0.006136697133680163, 257.35199499398794]","[42145.938444619256, 229.73448215758773, 0.6927880102223269, 0.19471032538012017, 25328.82864997586]","[370169.1916517428, 445.9465370480889, 0.07617358203342578, 0.9031066582353049, 2797509.8002331257]","[-2167.927655163454, 1274.2829535054802, -0.9920190757859928, 0.0008548561569673373, 159.08801924810564]","[-9209.161383452169, 1239.7332354988544, -0.9695518005871808, 0.006348670165494478, 1342.928685131066]","[3944.7429423574536, 290.1076266600512, 0.9860571683859509, 0.0019721954366291234, 384.35041097638447]","[87546.24078776763, 270.5901626041335, 0.9611986492781097, 0.009121372290972728, 14506.008845444565]","[-89282.0128740675, 1207.5269183358596, -0.8852159715864675, 0.04587051781067308, 27087.903332756734]","[2038.326250979329, 379.33873359342897, 0.8966044599416884, 0.039285628030692264, 581.2346039134501]","[-237304.49074530124, 577.7950184471781, -0.7016484966981082, 0.18662316608404103, 139131.27751719236]","[-1216.8702685164385, 1005.0474948320964, -0.34846552741489056, 0.5654702171383288, 1889.7852523172812]","[973992.1381404533, 385.273968494882, 0.5147836319461484, 0.37478232631040553, 936511.5061699194]","[285409.21113759436, 388.1248927770508, 0.7740310316366059, 0.12448280148651221, 134788.8577987279]","[1757498.1296515723, 295.4892820738768, 0.8545936832235169, 0.06508818104654447, 616581.6430597928]","[5791969.263321043, 300.00000031106117, 0.7362790061839515, 0.15598304519549233, 3073302.523709189]","[1694822.0919813872, 361.2444619677637, 0.6526812764096083, 0.2324843936943842, 1135850.0106662423]","[80371.98403498763, 247.23908952430406, 0.9791186235750865, 0.003610834237012522, 9634.390046370732]","[2908867.516103713, 362.4055317905447, 0.9147316324147625, 0.029504050885304885, 741852.4702898032]","[-2299776.8008165844, 510.3824024847196, -0.5337338057909686, 0.3542364002300214, 2103741.18724612]"
AIB,"[-6218.54588162829, 1562.7041256046607, -0.6889374200023721, 0.5161549421876501, 6542.439760251875]","[-3743.28633836331, 1674.5052033019883, -0.9804874582198838, 0.12596815431591396, 750.5056700324756]","[-450433.45479450485, 1528.1258607823086, -0.9776832435426204, 0.1347477906465888, 96789.08208878718]","[-8556.137753544599, 789.6709316685583, -0.9825671804624259, 0.11904519724843382, 1618.8748933082534]","[143887.8943194764, 225.7264824556849, 0.9999443561419152, 0.006715923674441904, 1517.979816306496]","[5524.063224934747, -59.714152463057815, 0.5592701579518585, 0.6221628964719492, 8188.1144921851965]","[nan, nan, 0.0, 1.0, inf]","[2577.1221447612975, 62.472549091562314, 0.9604781410654202, 0.1795786178350853, 746.8737595679585]","[1252790.6562349172, 347.45841988524546, 0.225074884416087, 0.8554746480728883, 5423287.855283317]","[399936.64854351926, 391.2492825241559, 0.8041467593660319, 0.40524518395419185, 295635.9192971965]","[7575.669504885335, 316.47403688405524, 0.9797668348433581, 0.12828090887277555, 1547.5233870899342]","[13024.908239433154, 183.50234180338384, 0.9959378800533967, 0.05740088852255512, 1177.5851038917863]","[690865.3564154784, 405.0, 0.913492564200791, 0.266749442820086, 307700.716757346]","[-3130.805381852155, 947.0585904643815, -0.8581258590213916, 0.3432577640912341, 1873.243647576605]","[14497.389688884135, 300.91435257815465, 0.8798929143687524, 0.31522835058469945, 7829.082372646814]","[378974.49542744644, 338.34090448132787, 0.9998344315311948, 0.011584837045672536, 6897.119199497027]","[-3307.2339840236436, 1880.2977709608972, -0.9188172361333269, 0.2582913569288143, 1420.6415428069733]","[-9818.167945723228, 1356.5332963197677, -0.9995398796554442, 0.01931290004061701, 297.9415575042872]","[4169.28801500859, 278.6659113571717, 0.9575791356314034, 0.18609393590541284, 1254.690596155103]","[90879.70051702917, 214.01335958833323, 0.8474858475742273, 0.35623044187556174, 56921.98880806245]","[-60996.47875962173, 914.4639624171189, -0.8870319503370683, 0.3055264397313713, 31749.211476196022]","[10095.36697881872, 384.0462128517199, 0.9410077187244557, 0.21976128788736626, 3630.280238822672]","[-2328662.2885227785, 1035.101710665716, -0.8500543846199311, 0.3531379439354926, 1442842.5166140911]","[18099.490396452267, -7029.3988653675015, 0.9021510679190041, 0.2839747550338362, 8655.409651824668]","[1718707.044319518, 220.04341138517663, 0.9991076392964443, 0.02689661585546139, 72657.07083353269]","[1964095.505927938, 349.38149861005303, 0.9794843204738392, 0.12917645730226085, 404095.57977310027]","[-1010963.6269430049, 470.0, -0.10439915019437608, 0.9334161094867527, 9630722.015581664]","[129655.08388005776, 444.3301057066138, 0.2014480636677766, 0.8708705484867143, 630420.8056555676]","[3182842.361539768, 392.9450379637659, 0.7208810291311558, 0.4874748020427979, 3060001.4621232105]","[121202.0295195329, 14.74676968139255, 0.996017096633136, 0.0568380614336635, 10849.884430580321]","[nan, nan, 0.0, 1.0, inf]","[nan, nan, 0.0, 1.0, inf]"
AIM,"[7763.56415390542, -682.9679757964591, 0.9489197263778268, 0.2043562596066561, 2581.399694890324]","[-6276.121501180279, 2408.2012419565485, -0.969246059405754, 0.15829414731749186, 1593.5205802062283]","[109743.65818682093, 155.07240708836594, 0.9650919620079035, 0.16870554950573355, 29782.756715374187]","[-6361.045566733383, 769.71558394873, -0.8985906481027399, 0.28918413137038945, 3106.141845637727]","[60903.24549540786, 240.79266856759497, 0.9129540565855376, 0.2675908149247536, 27221.876038059774]","[29541.2437698941, -1913.9284738925865, 0.9989164330933343, 0.029638908809632148, 1376.3370603359967]","[nan, nan, 0.0, 1.0, inf]","[-373.70520314975795, 533.0936373534062, -0.0454518741594081, 0.9710544660803289, 8213.500471975523]","[-745755.1204426977, 573.0954077035851, -0.5993896497014246, 0.5908200331034488, 995921.7754242455]","[1564896.846463779, 259.9348135408551, 0.6683627783186785, 0.5339907925779245, 1741607.7146526035]","[21807.232140833494, 259.476357608998, 0.9916907875320758, 0.08212516070909107, 2828.8841167003575]","[8129.701983738585, 275.07216666845, 0.5234436692384135, 0.6492941021803629, 13233.508353548761]","[5739002.66676803, -116.17048241225592, 0.8821546086661436, 0.3121847231834477, 3063907.6316778986]","[-230.04564278245527, 504.0610239306057, -0.026782347978410424, 0.9829477887367875, 8586.3690132387]","[28066.244982618296, 163.4530397139457, 0.9954890920524639, 0.06049096232011089, 2674.8810097038413]","[-1400471.2498190454, 578.0239485380105, -0.9993781848899647, 0.022451649990570543, 49410.863392386265]","[-10544.25944701446, 4835.710550199936, -0.991524911528226, 0.08294198835647423, 1381.5844776929428]","[20233.58814844224, -1402.7908343674214, 0.9201635448773291, 0.2561110800260306, 8609.493750542235]","[3955.092752551229, 248.61439978723607, 0.9999785367821008, 0.004171030013444263, 25.91350025173111]","[77729.5609608534, 238.06825702805057, 0.9906682164922352, 0.08703937343121758, 10693.989504953723]","[78736.21313347145, -243.42397615323938, 0.8584265204937004, 0.34288478763344626, 47047.33709017754]","[21176.59513180909, 298.60900186557603, 0.9576145215834068, 0.18601574608414942, 6369.972303969457]","[709065.860559746, 330.762029563232, 0.6858179613709717, 0.5188892314030646, 752443.2245875439]","[-3510.341869517272, 1919.156400376134, -0.9959486427920807, 0.05732474369499079, 316.9475649389086]","[1089632.5110470997, 393.983847210753, 0.8038528150396532, 0.40555988538771587, 806297.113001055]","[625005.4309966534, 352.3739234258663, 0.5483548856085433, 0.6305086189495108, 953138.4438235845]","[1043468.0211121055, 355.5905634061127, 0.8453868025164251, 0.3587399747010508, 659311.5231931951]","[-7246274.874487915, 845.9971253656977, -0.978253453388601, 0.13300882635391792, 1536383.133440026]","[2662073.342211973, 274.3341299977267, 0.9362163006409526, 0.22860507126674912, 999253.3342729711]","[72745.64241567029, 191.0062288142746, 0.9609467267715284, 0.17850379582446316, 20949.289062240103]","[1573579.839471199, 405.0, 0.913492564200791, 0.266749442820086, 700848.0595877646]","[nan, nan, 0.0, 1.0, inf]"
AIY,"[20443.60600610055, -2572.0311616827657, 0.9994038703823888, 0.021983004436778086, 706.2152468228712]","[-1381.7124598647915, 939.362206017144, -0.9996694219264826, 0.016369827680372595, 35.53672413397408]","[99482.82940104441, 280.6748393794822, 0.5856677056624479, 0.6016647292080839, 137682.05338659862]","[-9357.94727568414, 813.2242741040225, -0.999988171155992, 0.003096468748560327, 45.51668210222967]","[13920.816792064099, 450.9082028118643, 0.9174374684554616, 0.2605079282254783, 6037.266543479165]","[17293.895593910504, -659.9603558648787, 0.9442817004175235, 0.21351651940874183, 6027.95193437794]","[1215103.0000000002, 550.0, 0.1706640371965723, 0.8908174464907525, 7015400.441431219]","[1902.887438289249, 74.44944580549202, 0.9893427790594612, 0.09302583116318058, 280.0548553608788]","[-319416.81195917755, 588.8770033959076, -0.19410021395534705, 0.8756426067103947, 1614331.2912629165]","[801873.3698985716, 510.332193968224, 0.5974698087185861, 0.5923455538145508, 1076230.7232353261]","[3447.385918323393, 442.51964792352277, 0.9682907134257128, 0.16074692873646623, 889.4509305759877]","[17820.379313197005, 234.27966593666707, 0.9999987566327024, 0.001003910244585482, 28.101665956111763]","[741618.0591264283, 456.4325710528177, 0.8902501787177272, 0.30105887695700306, 379428.35414698295]","[-2417.5606664901047, 867.4198677959655, -0.9844492011943572, 0.11241800805107524, 431.4002719511471]","[4346.069747823861, 434.5736548666456, 0.9799225482910205, 0.12778466316638915, 884.2668345377982]","[352856.38324908615, 507.86514237727425, 0.8057775143675584, 0.40349543307415386, 259337.13497705263]","[-1289.0423534438958, 1039.5134541191183, -0.9991247857846206, 0.02663691853036285, 53.96654158619101]","[-5438.730426633716, 1012.1269109235545, -0.9706287918411461, 0.15467665676484843, 1348.0552159119113]","[4037.524722421292, 336.0333089339539, 0.9816706983347994, 0.12207695282534407, 783.8592180521443]","[101705.74098085257, 281.6357949055409, 0.9091142412331055, 0.2735196466914997, 46600.53305277293]","[-178130.96084703566, 2043.43212857596, -0.9976424396354315, 0.04372319516437808, 12253.348443441853]","[3158.401520952914, 465.8475248428023, 0.9412019290285113, 0.21939561885795977, 1133.708565011897]","[557633.1229766196, 423.8245073406621, 0.7780062163397085, 0.4324623644847566, 450300.6146445429]","[2090.8135740252287, -367.6180179440121, 0.9148957863582057, 0.2645452037038825, 922.5539802703112]","[-1137634.4756269397, 649.2500944490006, -0.9999512420431729, 0.006286655100460286, 11234.567908900393]","[248011.5091736871, 496.91254108936903, 0.675225992544999, 0.5280921968677563, 270925.58304681873]","[2295954.468555025, 202.98099772542656, 0.7636556986400104, 0.446805057397254, 1941087.6431325611]","[1459391.9505842193, 453.6746232841804, 0.3248071172273427, 0.78940122602759, 4249488.552855268]","[891818.7155963302, 550.0, 0.1706640371965723, 0.8908174464907525, 5148917.755178875]","[33649.27399509837, 425.4732066326488, 0.87606623778503, 0.3203175915219491, 18520.71102484197]","[2808234.295959307, 468.7787487909918, 0.9621132217042434, 0.17580035674484237, 795816.6596551009]","[495118.3701188454, 550.0, 0.17066403719657228, 0.8908174464907525, 2858567.242688442]"
ALA,"[-20840.641230021163, 3694.584929909832, -0.7031318672584295, 0.5035686960710188, 21075.613416938737]","[-2785.6169225059566, 1413.6008924610098, -0.9994770799575805, 0.02058883113283157, 90.12066998522195]","[116260.09011123037, 230.17891355164423, 0.5358379967045171, 0.6399915539096164, 183191.216040154]","[-14184.1364527655, 1246.8023938300855, -0.9972818637352329, 0.046949303618438576, 1047.9492979350093]","[14864.578119927646, 377.2520198780172, 0.9091388514291165, 0.27348203184261033, 6809.735433661868]","[6014.247322354786, 75.42400282040683, 0.2836799816850684, 0.8168893234045607, 20329.86626261026]","[nan, nan, 0.0, 1.0, inf]","[2333.952890772467, 121.65100069445396, 0.9687108749333136, 0.15967273856089037, 597.9785288215356]","[223163.75126579267, 446.92561831532686, 0.12302327505590363, 0.9214820366807427, 1800216.6783307488]","[-1253466.5374389673, 683.9121588976739, -0.7963215904627569, 0.41355264453425933, 952113.6602589204]","[3928.981188595387, 368.7122911899237, 0.9783216931777916, 0.1327992129559212, 831.6860208916067]","[12078.510300226648, 173.73001467179603, 0.9402754543480806, 0.22113481186685596, 4372.868293248448]","[2067849.9395405077, 405.0, 0.9134925642007908, 0.26674944282008617, 920988.2976974729]","[-2602.171836661663, 921.0035786064986, -0.9504412850429094, 0.20126360677307092, 851.210825543681]","[90621.41413533133, -20.258187094212474, 0.9865586262446702, 0.10449719003029184, 15009.991922187874]","[-646800.2882257367, 683.2595244438809, -0.9602434250835978, 0.18011465230515433, 188039.17913284095]","[-3368.3373003608945, 1945.5381872989265, -0.9900079040330487, 0.09007115033688222, 479.76947365196054]","[-8177.780690870702, 1264.0248306983506, -0.9997720295749427, 0.013593854780633267, 174.64814472836613]","[7056.144191896549, 194.04811059742377, 0.9839505033396427, 0.11421112160482483, 1279.6474029542521]","[84019.37181977181, 281.18285513843017, 0.8229651029423499, 0.38463641140869204, 57998.482324585544]","[-79572.51335470332, 1223.3412859307305, -0.8613411830382176, 0.339249933332699, 46932.59865396018]","[14376.85505791521, 377.3089292230875, 0.9544088082907445, 0.19297433833191058, 4496.531429858665]","[-566822.1712114236, 658.3939143504995, -0.9968495944980967, 0.050546656340775334, 45099.642429940264]","[4701.714997813245, -1431.5398771671767, 0.9757187531136542, 0.1405766918907749, 1055.4306484952847]","[nan, nan, 0.0, 1.0, inf]","[1341066.1601480714, 313.62887579858136, 0.9899456805011901, 0.0903516342328551, 191617.7739452694]","[4872113.675213675, 405.0, 0.913492564200791, 0.266749442820086, 2169963.880899742]","[190910.41456436814, 457.4561221693769, 0.04609698046259982, 0.9706433477116168, 4137092.473211691]","[2618854.36447167, 405.0, 0.9134925642007912, 0.26674944282008567, 1166397.1243427389]","[79440.29736538966, 253.80569868956098, 0.9696299607263902, 0.15729796259523188, 20037.790539817397]","[nan, nan, 0.0, 1.0, inf]","[8066565.566037735, 405.0, 0.9134925642007908, 0.26674944282008617, 3592723.217904764]"
ALM_BDU,"[-33721.80792229777, 5853.233671750248, -1.0, 0.0, 0.0]","[-4885.191552441819, 1969.4383379467586, -1.0, 0.0, 0.0]","[211008.47436618444, -29.775731030463817, 1.0, 0.0, 0.0]","[-7360.075026056722, 871.4866930532464, -0.9999999999999998, 0.0, 0.0]","[216170.47088079166, 171.5203553577453, 1.0, 0.0, 0.0]","[11380.17915217103, -308.4490719692519, 1.0, 0.0, 0.0]","[nan, nan, 0.0, 0.0, 0.0]","[8913.420558864966, -1443.4975832295986, 1.0, 0.0, 0.0]","[-912736.3178186809, 636.2460827604285, -1.0, 0.0, 0.0]","[-2248287.6157059073, 848.059370445199, -1.0, 0.0, 0.0]","[9144.60959831521, 420.4389483909158, 1.0, 0.0, 0.0]","[24451.9653348318, -400.5931343772804, 1.0, 0.0, 0.0]","[1354428.4872929219, 386.5516294452332, 1.0, 0.0, 0.0]","[-7826.0715231406075, 1579.6364101551007, -1.0, 0.0, 0.0]","[7405.046356360586, 405.78057361103697, 1.0, 0.0, 0.0]","[244991.49547925981, 432.23373402332777, 1.0, 0.0, 0.0]","[-15728.903195251462, 6378.0484883319195, -1.0, 0.0, 0.0]","[-21376.510883971685, 2118.5965268546147, -1.0, 0.0, 0.0]","[8017.278010267152, 257.727644328154, 1.0, 0.0, 0.0]","[430890.16810197785, -512.8911330252208, 1.0, 0.0, 0.0]","[-1108172.4025482475, 9544.317309893037, -1.0, 0.0, 0.0]","[4606.2586432120215, 431.21152655651593, 1.0, 0.0, 0.0]","[540356.5695721408, 385.9988303483847, 1.0, 0.0, 0.0]","[-4279.786679426725, 2605.7502089039335, -1.0, 0.0, 0.0]","[-1567352.194592772, 689.3455292800445, -1.0, 0.0, 0.0]","[-709406.2570449958, 632.2693166786673, -1.0, 0.0, 0.0]","[990594.6017165058, 347.8695125457749, 1.0, 0.0, 0.0]","[-1647649.5049089254, 684.0809081079191, -1.0, 0.0, 0.0]","[nan, nan, 0.0, 0.0, 0.0]","[3107567.808369068, -5991.826106011938, 1.0, 0.0, 0.0]","[nan, nan, 0.0, 0.0, 0.0]","[4136163.9672131143, 450.0, 1.0, 0.0, 0.0]"
AMsh,"[623.3148086112806, 310.7252806026788, 0.2082652393524063, 0.6921188319035316, 1463.6311928220919]","[-1882.7526215264895, 979.6508385534082, -0.9312235484072142, 0.006932637244780471, 368.4219292936625]","[94665.83942530585, 299.9062320478291, 0.21985853251338172, 0.6755259372932898, 210020.3535887205]","[-6329.657933216809, 688.3764307683407, -0.9520042756225237, 0.0034001031130132665, 1017.543545093322]","[201044.41377165532, 292.87476306799203, 0.5766440475966012, 0.2309062944266605, 142420.94535110603]","[-1196.7004152797813, 631.7132880403408, -0.4655203457316479, 0.35216075046158785, 1137.5704295406154]","[1253835.4966224518, 404.4098398364877, 0.7670013415111796, 0.07510800302970659, 524456.643804664]","[-26656.169923027304, 1221.8266962069113, -0.8766591632866451, 0.02188125327067054, 7314.474376806949]","[208639.37340205337, 457.7770748072071, 0.6959385065915435, 0.12462432947396465, 107641.85412324051]","[568134.280353781, 443.4434991042863, 0.6682820983054625, 0.14680456684302867, 316213.473708793]","[2303.4525140227747, 375.856058839973, 0.9856928849955048, 0.0003055760226208249, 196.94262407243662]","[2187.064459399709, 431.7325085148325, 0.4675538940683663, 0.3497743527000779, 2067.448814899208]","[390273.882780394, 479.0260845304425, 0.38535934418285045, 0.45057426650773935, 467267.37604597886]","[-1650.4609171649058, 669.4774130575865, -0.9190678676681167, 0.009559961925858805, 353.8615087040709]","[1002.5330816577117, 432.34793875483126, 0.8543239924998729, 0.03028651710628185, 304.9530193018514]","[-9543.323009241381, 512.3481056941177, -0.0048390695208875316, 0.9927414523759315, 986058.5006410076]","[-1507.1355705326969, 939.5248783521208, -0.9773298853545367, 0.0007650756745963028, 163.24788694813577]","[-5413.762593135584, 965.0509803617797, -0.9793933853083614, 0.0006325737337065203, 558.1891974375256]","[5704.259234270359, 249.4666703033884, 0.8875981452005006, 0.018241212981333993, 1480.111327320221]","[101952.55406383694, 239.83472694571333, 0.9446316775577127, 0.004513606714976915, 17707.407009362276]","[-59336.54002280535, 941.1358981127055, -0.9051787363454298, 0.01306033565530349, 13930.881941151822]","[914.5654386047061, 412.4023114621309, 0.9317688726180476, 0.006824405561197296, 178.17445835879997]","[-375319.07601686724, 578.5965294309881, -0.19274384205124837, 0.7144644719696648, 955365.1741163459]","[-1182.168419272012, 1061.183871804147, -0.5826097480369002, 0.22496419107407548, 824.5740822077038]","[514593.1964295663, 488.8930935640485, 0.2201586002050701, 0.675097622370106, 1140012.662633081]","[175595.53846721718, 456.6126527173744, 0.6844439449874807, 0.13365259026303875, 93521.64477910755]","[442261.607379537, 484.7537156330282, 0.18066445532491984, 0.7319517288933275, 1203845.2697242093]","[1194673.3767306407, 479.0108499816732, 0.2311418328984442, 0.6594618056420929, 2514304.0636415943]","[880174.9381514566, 431.30707167888977, 0.6952132228675248, 0.1251858885631498, 455020.7536992488]","[70733.18391495301, 344.2507117369294, 0.9221022746500961, 0.008865739557193098, 14841.054259442566]","[1003262.6973238493, 477.6626355283717, 0.5954401553736991, 0.21239611640140113, 676827.8116970082]","[7351904.317525098, 486.67739700242265, 0.37131068855084964, 0.4686305716304462, 9192176.792392295]"
