,leiden
Y71G10AR.4,1
T04C4.3,9
T04C4.1,1
M70.3,5
M70.2,6
M70.4,1
M70.5,1
lin-1,1
mksr-2,8
vha-11,0
vha-3,0
Y38F2AL.12,10
nsy-4,1
nhr-236,3
ppgn-1,1
tftc-1,1
Y38F2AR.3,7
Y38F2AR.9,4
trap-3,4
eri-5,1
Y38F2AR.12,1
C45G7.4,1
cdh-10,2
C45G7.13,3
ilys-2,12
ilys-1,2
grd-16,3
Y69A2AL.2,12
Y69A2AR.19,2
Y69A2AR.21,0
Y69A2AR.18,7
Y69A2AR.16,0
Y69A2AR.22,8
sprr-3,5
Y69A2AR.12,12
nhr-242,2
epg-9,7
vamp-7,0
Y69A2AR.32,1
Y69A2AR.28,0
daao-1,2
smf-3,10
ngn-1,4
mdf-2,0
Y69A2AR.3,0
ric-8,4
Y69A2AR.31,1
Y69A2AR.1,0
gpx-4,1
Y94H6A.3,4
egrh-3,1
Y94H6A.5,0
ubc-8,1
Y94H6A.10,3
Y94H6A.12,0
Y94H6A.7,2
Y94H6A.8,7
ubxn-2,0
Y94H6A.2,9
nhr-277,5
Y54G2A.41,5
Y54G2A.38,10
Y54G2A.77,9
Y54G2A.11,7
Y54G2A.12,2
Y54G2A.72,2
atln-1,0
Y54G2A.52,8
Y54G2A.10,5
Y54G2A.44,2
Y54G2A.32,8
Y54G2A.45,2
Y54G2A.76,1
Y54G2A.13,9
Y54G2A.37,11
clec-80,10
Y54G2A.48,14
pudl-1,14
pudl-2,6
clec-82,2
Y54G2A.7,3
clec-83,3
clec-84,2
Y54G2A.15,6
Y54G2A.40,2
Y54G2A.49,2
clec-85,1
Y54G2A.16,11
nprt-1,1
dml-1,3
Y54G2A.75,4
Y54G2A.18,7
Y54G2A.19,1
Y54G2A.36,1
Y54G2A.50,1
fbxc-45,2
ubc-13,0
Y54G2A.23,0
samt-1,1
ser-6,3
lad-2,8
Y54G2A.26,4
Y54G2A.27,6
Y54G2A.73,2
Y54G2A.28,6
vrp-1,6
ndnf-1,3
eel-1,0
Y67D8C.3,0
Y67D8C.6,9
Y67D8C.7,6
cpg-9,7
Y67D8C.22,5
Y67D8C.9,0
mca-3,7
T23E1.3,2
T23E1.1,5
Y67D8B.1,6
Y67D8B.4,0
Y67D8B.2,3
Y67D8B.5,11
M4.1,1
Y67D8A.2,0
dmd-9,5
T26C12.1,0
T26C12.2,9
clec-173,2
T26C12.3,0
gcy-23,8
W08E12.8,3
W08E12.7,0
W08E12.6,3
W08E12.4,3
W08E12.3,3
W08E12.2,3
W08E12.9,9
zip-11,1
F42A6.5,13
F42A6.6,0
hrp-1,4
F42A6.2,6
elks-1,4
F42A6.1,10
Y55H10A.2,5
vha-19,0
otub-4,0
B0546.3,3
B0546.4,0
mai-2,7
C04C3.4,11
C04C3.14,6
dyf-3,8
pdhb-1,0
lgc-9,2
C04C3.6,5
C04C3.9,12
srz-60,5
srz-32,13
grd-13,2
grd-3,2
grd-10,1
F09D12.2,2
F58E2.5,8
srz-23,5
F58E2.4,3
F58E2.3,2
srz-69,10
srz-70,10
C09G12.5,5
srz-37,5
srz-82,10
srz-78,5
srz-79,5
C09G12.17,2
ceh-53,0
srz-83,2
ced-10,4
tsg-101,1
unc-33,0
M57.2,0
M57.1,1
B0212.3,1
nstp-6,3
osm-9,5
sre-5,10
otpl-1,3
Y37E11B.2,0
Y37E11B.1,0
blos-7,0
taf-2,1
Y37E11B.5,0
Y37E11B.6,4
Y37E11B.7,2
Y37E11B.10,6
kgb-2,6
ZC416.6,1
cha-1,0
unc-17,3
ZC416.2,2
madf-9,2
CC8.3,9
CC8.2,1
Y37E11AL.6,0
map-1,0
taf-6.2,0
Y37E11AL.3,0
Y37E11AL.2,1
Y37E11AL.9,10
Y37E11AL.1,5
Y37E11AM.3,0
Y37E11AM.2,0
smgl-2,1
nape-2,0
nape-1,2
siah-1,0
ugt-45,1
best-20,2
vab-2,0
glct-6,3
K09B3.1,8
osm-3,3
algn-14,1
M02B7.2,0
fbxc-47,1
M02B7.7,1
bris-1,0
F28F9.3,3
cal-3,2
F28F9.2,0
zag-1,0
aat-8,2
F37C4.4,1
F37C4.5,1
F37C4.6,1
F37C4.8,6
oac-22,9
oac-21,5
F56D6.9,9
F56D6.8,2
dct-8,2
srz-62,13
F56D6.22,6
F56D6.18,6
srz-20,5
F56D6.14,13
srz-19,5
clec-67,3
clec-71,12
Y46C8AL.11,6
clec-72,2
clec-73,14
clec-74,6
clec-75,2
clec-76,2
clec-79,6
srh-220,13
srh-222,13
srh-223,6
clec-78,1
F47C12.6,6
F47C12.13,6
F47C12.8,6
W02C12.2,8
hlh-30,0
F35F11.3,13
F35F11.2,6
cdc-73,0
pcn-1,4
wrt-5,0
ilys-6,6
fbxb-55,9
pqn-75,2
W03D2.9,1
C35B1.8,2
C35B1.4,6
C35B1.9,9
C35B1.5,7
C35B1.2,1
ubc-1,1
C35B1.7,5
F49F1.14,2
drd-50,11
F49F1.5,1
mul-1,3
F49F1.7,2
F49F1.8,6
F49F1.17,9
F49F1.10,12
F49F1.18,2
R07C12.3,10
R07C12.1,2
K08D10.10,9
K08D10.14,2
scrm-5,10
K08D10.13,6
rnp-2,0
rnp-3,4
dnj-15,0
tsen-34,1
K08D10.11,6
K06B9.6,1
pax-2,5
F30B5.4,1
F30B5.11,6
srbc-70,6
zipt-2.2,9
dpy-13,3
col-34,4
ttr-20,0
ama-1,4
col-33,3
F36A4.5,6
F36A4.4,10
F36A4.3,6
F36A4.2,5
F36A4.1,5
nhr-78,0
F15E6.6,2
srv-4,2
F15E6.5,3
dct-7,6
F15E6.4,2
F15E6.10,3
F15E6.9,2
F15E6.3,2
lgc-22,3
set-9,1
Y24D9B.1,10
trpl-2,3
W03B1.3,1
oac-51,1
oac-52,2
sars-2,0
F55F10.3,6
F55F10.1,0
tald-1,4
rpl-7A,7
set-21,1
ell-1,0
Y24D9A.5,2
Y24D9A.6,6
Y24D9A.7,12
str-185,10
R08C7.8,2
R08C7.4,3
fbxb-74,0
fbxb-75,0
wapl-1,4
htz-1,4
chat-1,4
R08C7.12,1
R08C7.1,1
M01H9.2,3
M01H9.5,2
M01H9.3,0
M01H9.4,1
trx-3,3
gbb-2,7
ZK180.7,8
ZK180.3,0
ZK180.8,2
sar-1,4
ZK180.5,7
ZK180.6,3
ZK185.3,1
ZK185.4,5
ZK185.2,3
ZK185.5,2
ZK185.1,1
igeg-1,3
F28E10.4,11
F28E10.1,8
F28E10.5,2
F19C7.6,6
F19C7.5,2
F19C7.3,0
F19C7.2,1
F19C7.4,2
F19C7.1,8
col-110,2
F19C7.8,8
R105.1,6
R105.5,9
F29B9.8,1
F29B9.7,9
ubc-9,0
F29B9.5,1
psr-1,0
col-111,0
mrps-21,0
F29B9.11,7
jmjd-1.2,4
F29B9.1,1
F29B9.12,3
T22B11.4,1
bus-4,3
T22B11.1,2
ogdh-1,7
cif-1,4
yars-2,0
miro-1,0
K08F11.1,1
fbxb-78,0
hoe-1,0
timm-17B.1,0
tctn-1,8
cyc-2.1,7
rpl-20,7
Y17G9B.5,0
Y17G9B.4,2
fbxb-77,4
Y17G9B.11,4
Y17G9B.8,4
memi-1,1
cyp-31A3,2
Y17G9B.2,4
