wbid,term,found
WBGene00005038,detection of chemical stimulus GO:0009593,1.0
WBGene00006253,detection of chemical stimulus GO:0009593,1.0
WBGene00007370,detection of chemical stimulus GO:0009593,1.0
WBGene00013649,detection of chemical stimulus GO:0009593,1.0
WBGene00005038,molecular transducer activity GO:0060089,1.0
WBGene00006253,molecular transducer activity GO:0060089,1.0
WBGene00007370,molecular transducer activity GO:0060089,1.0
WBGene00018110,molecular transducer activity GO:0060089,1.0
WBGene00005749,molecular transducer activity GO:0060089,1.0
WBGene00005181,molecular transducer activity GO:0060089,1.0
WBGene00005754,molecular transducer activity GO:0060089,1.0
WBGene00013649,molecular transducer activity GO:0060089,1.0
WBGene00000060,molecular transducer activity GO:0060089,1.0
WBGene00005766,molecular transducer activity GO:0060089,1.0
WBGene00005810,molecular transducer activity GO:0060089,1.0
WBGene00077588,molecular transducer activity GO:0060089,1.0
WBGene00005400,intrinsic component of membrane GO:0031224,1.0
WBGene00010530,intrinsic component of membrane GO:0031224,1.0
WBGene00005357,intrinsic component of membrane GO:0031224,1.0
WBGene00005430,intrinsic component of membrane GO:0031224,1.0
WBGene00014195,intrinsic component of membrane GO:0031224,1.0
WBGene00005038,intrinsic component of membrane GO:0031224,1.0
WBGene00013286,intrinsic component of membrane GO:0031224,1.0
WBGene00006253,intrinsic component of membrane GO:0031224,1.0
WBGene00005555,intrinsic component of membrane GO:0031224,1.0
WBGene00006092,intrinsic component of membrane GO:0031224,1.0
WBGene00005529,intrinsic component of membrane GO:0031224,1.0
WBGene00016472,intrinsic component of membrane GO:0031224,1.0
WBGene00007370,intrinsic component of membrane GO:0031224,1.0
WBGene00019566,intrinsic component of membrane GO:0031224,1.0
WBGene00005234,intrinsic component of membrane GO:0031224,1.0
WBGene00005237,intrinsic component of membrane GO:0031224,1.0
WBGene00019966,intrinsic component of membrane GO:0031224,1.0
WBGene00016827,intrinsic component of membrane GO:0031224,1.0
WBGene00005415,intrinsic component of membrane GO:0031224,1.0
WBGene00007437,intrinsic component of membrane GO:0031224,1.0
WBGene00044587,intrinsic component of membrane GO:0031224,1.0
WBGene00013629,intrinsic component of membrane GO:0031224,1.0
WBGene00005914,intrinsic component of membrane GO:0031224,1.0
WBGene00008814,intrinsic component of membrane GO:0031224,1.0
WBGene00015288,intrinsic component of membrane GO:0031224,1.0
WBGene00005486,intrinsic component of membrane GO:0031224,1.0
WBGene00235116,intrinsic component of membrane GO:0031224,1.0
WBGene00005749,intrinsic component of membrane GO:0031224,1.0
WBGene00011570,intrinsic component of membrane GO:0031224,1.0
WBGene00005181,intrinsic component of membrane GO:0031224,1.0
WBGene00005754,intrinsic component of membrane GO:0031224,1.0
WBGene00005471,intrinsic component of membrane GO:0031224,1.0
WBGene00013649,intrinsic component of membrane GO:0031224,1.0
WBGene00005577,intrinsic component of membrane GO:0031224,1.0
WBGene00008947,intrinsic component of membrane GO:0031224,1.0
WBGene00005406,intrinsic component of membrane GO:0031224,1.0
WBGene00005565,intrinsic component of membrane GO:0031224,1.0
WBGene00000060,intrinsic component of membrane GO:0031224,1.0
WBGene00195243,intrinsic component of membrane GO:0031224,1.0
WBGene00005299,intrinsic component of membrane GO:0031224,1.0
WBGene00006021,intrinsic component of membrane GO:0031224,1.0
WBGene00006005,intrinsic component of membrane GO:0031224,1.0
WBGene00010414,intrinsic component of membrane GO:0031224,1.0
WBGene00005264,intrinsic component of membrane GO:0031224,1.0
WBGene00022012,intrinsic component of membrane GO:0031224,1.0
WBGene00005230,intrinsic component of membrane GO:0031224,1.0
WBGene00019383,intrinsic component of membrane GO:0031224,1.0
WBGene00011322,intrinsic component of membrane GO:0031224,1.0
WBGene00005766,intrinsic component of membrane GO:0031224,1.0
WBGene00005370,intrinsic component of membrane GO:0031224,1.0
WBGene00005554,intrinsic component of membrane GO:0031224,1.0
WBGene00011340,intrinsic component of membrane GO:0031224,1.0
WBGene00045101,intrinsic component of membrane GO:0031224,1.0
WBGene00005810,intrinsic component of membrane GO:0031224,1.0
WBGene00012089,intrinsic component of membrane GO:0031224,1.0
WBGene00005550,intrinsic component of membrane GO:0031224,1.0
WBGene00021033,intrinsic component of membrane GO:0031224,1.0
WBGene00013645,intrinsic component of membrane GO:0031224,1.0
WBGene00005428,intrinsic component of membrane GO:0031224,1.0
WBGene00005432,intrinsic component of membrane GO:0031224,1.0
WBGene00005574,intrinsic component of membrane GO:0031224,1.0
WBGene00022804,intrinsic component of membrane GO:0031224,1.0
WBGene00077514,intrinsic component of membrane GO:0031224,1.0
WBGene00015996,intrinsic component of membrane GO:0031224,1.0
WBGene00023478,intrinsic component of membrane GO:0031224,1.0
WBGene00000733,intrinsic component of membrane GO:0031224,1.0
WBGene00077588,intrinsic component of membrane GO:0031224,1.0
WBGene00005038,sensory perception of smell GO:0007608,1.0
WBGene00006253,sensory perception of smell GO:0007608,1.0
WBGene00007370,sensory perception of smell GO:0007608,1.0
WBGene00013649,sensory perception of smell GO:0007608,1.0
