,leiden_cluster0,leiden_cluster1,leiden_cluster2,leiden_cluster3,leiden_cluster4,leiden_cluster5,leiden_cluster6,leiden_cluster7,leiden_cluster8,leiden_cluster9,leiden_cluster10,leiden_cluster11,leiden_cluster12,leiden_cluster13,leiden_cluster14,leiden_cluster15
AMso:450_510,0.26408946424952723,0.09666009397429212,0.07573435142241859,0.003881444085049571,0.010791505894665104,0.011482172959228343,0.00025700912490294085,0.5341032919775748,0.0,0.0002159041069256612,0.0002795141222455014,0.0,0.0,0.0025052480831702487,0.0,0.0
AMso:510_580,0.22532136871546024,0.085164964470451,0.1133076516202847,0.003994495413224485,0.010921570420372692,0.023823593627634237,0.0005611783979180934,0.5323608038090049,4.385340149997294e-05,0.00017924948272683973,0.00020869242841476486,0.0,2.923560099998196e-05,0.004083342612008119,0.0,0.0
AMso:580_650,0.18507119053210144,0.05877482259117416,0.10130373134274577,0.008839582436178791,0.007740090909830267,0.043568278269363284,0.00038842523678960417,0.5876318939431298,9.965428815593343e-05,0.0001424809243882354,0.00013712759485919767,9.74923666153605e-05,0.0005184493751583479,0.005670823149567601,0.0,1.5957039942324055e-05
Anterior_arcade_cell:390_450,0.34482113850002594,0.10545848775937272,0.10220845315662004,0.007633495876226597,0.01409878224037516,0.008632113309736572,0.0004972505604616856,0.4140483574111893,8.829490498264203e-05,0.00021240172946873328,0.0001012612896304426,3.900206175806681e-05,5.701092932445649e-05,0.002094791475322449,0.0,9.158795505192473e-06
Anterior_arcade_cell:450_510,0.31976124316387416,0.10426679822535437,0.15084754918200635,0.02899788716035543,0.012363408418865992,0.01256602495520973,0.0003926016312428331,0.3689140842215222,4.857456750663356e-05,0.00024133241784479677,0.00016513299059337582,4.66233692346969e-05,7.979373985762003e-05,0.0013089459565318214,0.0,0.0
Anterior_arcade_cell:510_580,0.22004415202504565,0.2155484102792853,0.17307284051578153,0.014941784584376212,0.008014377287107941,0.010543102949801335,0.0006387381359502393,0.3540232448640745,9.93317308089444e-05,0.00017274634682262367,7.609925738689399e-05,0.0,0.0,0.0027767452234034643,4.842680015529618e-05,0.0
Anterior_arcade_cell:580_650,0.18347829195136092,0.30280769631349275,0.2802386060143293,0.004984653675958686,0.00650788495587765,0.0282530129268206,0.00026202043122544014,0.1904350319775856,3.4203372637425146e-05,0.0001811854334306845,8.925744991568304e-05,9.973415865147093e-05,2.331581257866519e-05,0.0025941152532456746,0.0,1.0990272889502976e-05
Arcade_cell_anterior_and_posterior:gt_650,0.3072279699614098,0.062047509391574975,0.41053720417841866,0.013317834925233286,0.010606439208743098,0.009063100794252129,0.0006360994214209758,0.18081974977749932,0.0014401257872930185,0.000569217638996703,0.0007767782322917838,4.22139645239622e-05,2.8899535615426447e-05,0.0028868571827267053,0.0,0.0
ASE:330_390,0.4113436446909337,0.09355984842903156,0.016349030567724857,0.001806805569592365,0.009248420590736824,0.0012682689850240846,0.0004231650847622862,0.4637858672263087,0.00018537103688934725,5.507992771960209e-05,5.722589892945671e-05,9.605775891730234e-06,0.0,0.001907666216455532,0.0,0.0
ASE:390_510,0.4005879056912762,0.08560566618612789,0.03911520922472468,0.0018406478302752393,0.0072943479283067705,0.003403563277116573,0.0002676072509718608,0.4606997033538691,5.23469348287749e-05,7.765976598388847e-05,6.814214146956577e-05,2.349030731194541e-05,0.0,0.0009561162583909504,3.0375397386136297e-06,4.556309607920446e-06
