wbid,term,found
WBGene00005061,detection of chemical stimulus GO:0009593,1.0
WBGene00006221,detection of chemical stimulus GO:0009593,1.0
WBGene00006287,detection of chemical stimulus GO:0009593,1.0
WBGene00006189,detection of chemical stimulus GO:0009593,1.0
WBGene00006186,detection of chemical stimulus GO:0009593,1.0
WBGene00005039,detection of chemical stimulus GO:0009593,1.0
WBGene00006198,detection of chemical stimulus GO:0009593,1.0
WBGene00006242,detection of chemical stimulus GO:0009593,1.0
WBGene00006272,detection of chemical stimulus GO:0009593,1.0
WBGene00006240,detection of chemical stimulus GO:0009593,1.0
WBGene00006276,detection of chemical stimulus GO:0009593,1.0
WBGene00006279,detection of chemical stimulus GO:0009593,1.0
WBGene00006199,detection of chemical stimulus GO:0009593,1.0
WBGene00006167,detection of chemical stimulus GO:0009593,1.0
WBGene00006169,detection of chemical stimulus GO:0009593,1.0
WBGene00013947,interspecies interaction between organisms GO:0044419,1.0
WBGene00015932,interspecies interaction between organisms GO:0044419,1.0
WBGene00009215,interspecies interaction between organisms GO:0044419,1.0
WBGene00008634,interspecies interaction between organisms GO:0044419,1.0
WBGene00009213,interspecies interaction between organisms GO:0044419,1.0
WBGene00020982,interspecies interaction between organisms GO:0044419,1.0
WBGene00014137,interspecies interaction between organisms GO:0044419,1.0
WBGene00017964,interspecies interaction between organisms GO:0044419,1.0
WBGene00006612,interspecies interaction between organisms GO:0044419,1.0
WBGene00003999,interspecies interaction between organisms GO:0044419,1.0
WBGene00017736,interspecies interaction between organisms GO:0044419,1.0
WBGene00009434,interspecies interaction between organisms GO:0044419,1.0
WBGene00017540,interspecies interaction between organisms GO:0044419,1.0
WBGene00007992,interspecies interaction between organisms GO:0044419,1.0
WBGene00004962,interspecies interaction between organisms GO:0044419,1.0
WBGene00019473,interspecies interaction between organisms GO:0044419,1.0
WBGene00020326,interspecies interaction between organisms GO:0044419,1.0
WBGene00022634,interspecies interaction between organisms GO:0044419,1.0
WBGene00016668,interspecies interaction between organisms GO:0044419,1.0
WBGene00016416,interspecies interaction between organisms GO:0044419,1.0
WBGene00009430,interspecies interaction between organisms GO:0044419,1.0
WBGene00002193,interspecies interaction between organisms GO:0044419,1.0
WBGene00000701,structural constituent of cuticle GO:0042302,1.0
WBGene00000649,structural constituent of cuticle GO:0042302,1.0
WBGene00000719,structural constituent of cuticle GO:0042302,1.0
WBGene00000675,structural constituent of cuticle GO:0042302,1.0
WBGene00000714,structural constituent of cuticle GO:0042302,1.0
WBGene00000256,structural constituent of cuticle GO:0042302,1.0
WBGene00013489,structural constituent of cuticle GO:0042302,1.0
WBGene00000659,structural constituent of cuticle GO:0042302,1.0
WBGene00000694,structural constituent of cuticle GO:0042302,1.0
WBGene00000661,structural constituent of cuticle GO:0042302,1.0
WBGene00000618,structural constituent of cuticle GO:0042302,1.0
WBGene00000627,structural constituent of cuticle GO:0042302,1.0
WBGene00000713,structural constituent of cuticle GO:0042302,1.0
WBGene00000751,structural constituent of cuticle GO:0042302,1.0
WBGene00021731,peptidase activity GO:0008233,1.0
WBGene00019646,peptidase activity GO:0008233,1.0
WBGene00012233,peptidase activity GO:0008233,1.0
WBGene00003536,peptidase activity GO:0008233,1.0
WBGene00013764,peptidase activity GO:0008233,1.0
WBGene00019314,peptidase activity GO:0008233,1.0
WBGene00013072,peptidase activity GO:0008233,1.0
WBGene00004402,peptidase activity GO:0008233,1.0
WBGene00000544,peptidase activity GO:0008233,1.0
WBGene00018227,peptidase activity GO:0008233,1.0
WBGene00006625,peptidase activity GO:0008233,1.0
WBGene00000819,peptidase activity GO:0008233,1.0
WBGene00003957,peptidase activity GO:0008233,1.0
WBGene00003530,peptidase activity GO:0008233,1.0
WBGene00017594,peptidase activity GO:0008233,1.0
WBGene00003544,peptidase activity GO:0008233,1.0
WBGene00023425,peptidase activity GO:0008233,1.0
WBGene00020567,peptidase activity GO:0008233,1.0
WBGene00020655,peptidase activity GO:0008233,1.0
WBGene00017555,peptidase activity GO:0008233,1.0
WBGene00009708,peptidase activity GO:0008233,1.0
WBGene00018496,peptidase activity GO:0008233,1.0
WBGene00016523,peptidase activity GO:0008233,1.0
WBGene00010719,phosphorus metabolic process GO:0006793,1.0
WBGene00016288,phosphorus metabolic process GO:0006793,1.0
WBGene00005024,phosphorus metabolic process GO:0006793,1.0
WBGene00012017,phosphorus metabolic process GO:0006793,1.0
WBGene00017817,phosphorus metabolic process GO:0006793,1.0
WBGene00018004,phosphorus metabolic process GO:0006793,1.0
WBGene00016548,phosphorus metabolic process GO:0006793,1.0
WBGene00022032,phosphorus metabolic process GO:0006793,1.0
WBGene00022670,phosphorus metabolic process GO:0006793,1.0
WBGene00008088,phosphorus metabolic process GO:0006793,1.0
WBGene00002199,phosphorus metabolic process GO:0006793,1.0
WBGene00019086,phosphorus metabolic process GO:0006793,1.0
WBGene00019951,phosphorus metabolic process GO:0006793,1.0
WBGene00013586,phosphorus metabolic process GO:0006793,1.0
WBGene00013388,phosphorus metabolic process GO:0006793,1.0
WBGene00002188,phosphorus metabolic process GO:0006793,1.0
WBGene00013727,phosphorus metabolic process GO:0006793,1.0
WBGene00010072,phosphorus metabolic process GO:0006793,1.0
WBGene00010992,phosphorus metabolic process GO:0006793,1.0
WBGene00006612,phosphorus metabolic process GO:0006793,1.0
WBGene00020720,phosphorus metabolic process GO:0006793,1.0
WBGene00014007,phosphorus metabolic process GO:0006793,1.0
WBGene00017736,phosphorus metabolic process GO:0006793,1.0
WBGene00021371,phosphorus metabolic process GO:0006793,1.0
WBGene00016541,phosphorus metabolic process GO:0006793,1.0
WBGene00008581,phosphorus metabolic process GO:0006793,1.0
WBGene00010555,phosphorus metabolic process GO:0006793,1.0
WBGene00007791,phosphorus metabolic process GO:0006793,1.0
WBGene00004962,phosphorus metabolic process GO:0006793,1.0
WBGene00018842,phosphorus metabolic process GO:0006793,1.0
WBGene00013654,phosphorus metabolic process GO:0006793,1.0
WBGene00022634,phosphorus metabolic process GO:0006793,1.0
WBGene00018531,phosphorus metabolic process GO:0006793,1.0
WBGene00012008,phosphorus metabolic process GO:0006793,1.0
WBGene00016053,phosphorus metabolic process GO:0006793,1.0
WBGene00013978,phosphorus metabolic process GO:0006793,1.0
WBGene00010869,phosphorus metabolic process GO:0006793,1.0
WBGene00022454,phosphorus metabolic process GO:0006793,1.0
WBGene00000864,phosphorus metabolic process GO:0006793,1.0
WBGene00021639,phosphorus metabolic process GO:0006793,1.0
WBGene00015634,phosphorus metabolic process GO:0006793,1.0
WBGene00044616,phosphorus metabolic process GO:0006793,1.0
WBGene00021678,phosphorus metabolic process GO:0006793,1.0
WBGene00021214,phosphorus metabolic process GO:0006793,1.0
WBGene00016416,phosphorus metabolic process GO:0006793,1.0
WBGene00010166,phosphorus metabolic process GO:0006793,1.0
WBGene00012159,phosphorus metabolic process GO:0006793,1.0
WBGene00016765,phosphorus metabolic process GO:0006793,1.0
WBGene00022709,phosphorus metabolic process GO:0006793,1.0
WBGene00017636,phosphorus metabolic process GO:0006793,1.0
WBGene00002193,phosphorus metabolic process GO:0006793,1.0
WBGene00020435,phosphorus metabolic process GO:0006793,1.0
WBGene00044004,molecular transducer activity GO:0060089,1.0
WBGene00013871,molecular transducer activity GO:0060089,1.0
WBGene00044124,molecular transducer activity GO:0060089,1.0
WBGene00001592,molecular transducer activity GO:0060089,1.0
WBGene00002199,molecular transducer activity GO:0060089,1.0
WBGene00005186,molecular transducer activity GO:0060089,1.0
WBGene00005185,molecular transducer activity GO:0060089,1.0
WBGene00017845,molecular transducer activity GO:0060089,1.0
WBGene00016872,molecular transducer activity GO:0060089,1.0
WBGene00005753,molecular transducer activity GO:0060089,1.0
WBGene00005061,molecular transducer activity GO:0060089,1.0
WBGene00003233,molecular transducer activity GO:0060089,1.0
WBGene00006221,molecular transducer activity GO:0060089,1.0
WBGene00005887,molecular transducer activity GO:0060089,1.0
WBGene00006287,molecular transducer activity GO:0060089,1.0
WBGene00005791,molecular transducer activity GO:0060089,1.0
WBGene00006189,molecular transducer activity GO:0060089,1.0
WBGene00005170,molecular transducer activity GO:0060089,1.0
WBGene00000056,molecular transducer activity GO:0060089,1.0
WBGene00006186,molecular transducer activity GO:0060089,1.0
WBGene00005039,molecular transducer activity GO:0060089,1.0
WBGene00005202,molecular transducer activity GO:0060089,1.0
WBGene00006198,molecular transducer activity GO:0060089,1.0
WBGene00006242,molecular transducer activity GO:0060089,1.0
WBGene00006272,molecular transducer activity GO:0060089,1.0
WBGene00005882,molecular transducer activity GO:0060089,1.0
WBGene00006240,molecular transducer activity GO:0060089,1.0
WBGene00000044,molecular transducer activity GO:0060089,1.0
WBGene00005842,molecular transducer activity GO:0060089,1.0
WBGene00006276,molecular transducer activity GO:0060089,1.0
WBGene00008982,molecular transducer activity GO:0060089,1.0
WBGene00006279,molecular transducer activity GO:0060089,1.0
WBGene00005762,molecular transducer activity GO:0060089,1.0
WBGene00005441,molecular transducer activity GO:0060089,1.0
WBGene00006199,molecular transducer activity GO:0060089,1.0
WBGene00006167,molecular transducer activity GO:0060089,1.0
WBGene00020523,molecular transducer activity GO:0060089,1.0
WBGene00005814,molecular transducer activity GO:0060089,1.0
WBGene00006169,molecular transducer activity GO:0060089,1.0
WBGene00005795,molecular transducer activity GO:0060089,1.0
WBGene00002090,chemosensory behavior GO:0007635,1.0
WBGene00006221,chemosensory behavior GO:0007635,1.0
WBGene00006287,chemosensory behavior GO:0007635,1.0
WBGene00006189,chemosensory behavior GO:0007635,1.0
WBGene00006186,chemosensory behavior GO:0007635,1.0
WBGene00006198,chemosensory behavior GO:0007635,1.0
WBGene00006242,chemosensory behavior GO:0007635,1.0
WBGene00006272,chemosensory behavior GO:0007635,1.0
WBGene00006240,chemosensory behavior GO:0007635,1.0
WBGene00006276,chemosensory behavior GO:0007635,1.0
WBGene00006279,chemosensory behavior GO:0007635,1.0
WBGene00006199,chemosensory behavior GO:0007635,1.0
WBGene00006167,chemosensory behavior GO:0007635,1.0
WBGene00045401,chemosensory behavior GO:0007635,1.0
WBGene00006169,chemosensory behavior GO:0007635,1.0
WBGene00077497,intrinsic component of membrane GO:0031224,1.0
WBGene00044141,intrinsic component of membrane GO:0031224,1.0
WBGene00017175,intrinsic component of membrane GO:0031224,1.0
WBGene00005024,intrinsic component of membrane GO:0031224,1.0
WBGene00194730,intrinsic component of membrane GO:0031224,1.0
WBGene00019648,intrinsic component of membrane GO:0031224,1.0
WBGene00020943,intrinsic component of membrane GO:0031224,1.0
WBGene00044004,intrinsic component of membrane GO:0031224,1.0
WBGene00003574,intrinsic component of membrane GO:0031224,1.0
WBGene00006080,intrinsic component of membrane GO:0031224,1.0
WBGene00012093,intrinsic component of membrane GO:0031224,1.0
WBGene00001246,intrinsic component of membrane GO:0031224,1.0
WBGene00015728,intrinsic component of membrane GO:0031224,1.0
WBGene00014196,intrinsic component of membrane GO:0031224,1.0
WBGene00011350,intrinsic component of membrane GO:0031224,1.0
WBGene00021881,intrinsic component of membrane GO:0031224,1.0
WBGene00077563,intrinsic component of membrane GO:0031224,1.0
WBGene00013871,intrinsic component of membrane GO:0031224,1.0
WBGene00005388,intrinsic component of membrane GO:0031224,1.0
WBGene00005126,intrinsic component of membrane GO:0031224,1.0
WBGene00012266,intrinsic component of membrane GO:0031224,1.0
WBGene00005422,intrinsic component of membrane GO:0031224,1.0
WBGene00021599,intrinsic component of membrane GO:0031224,1.0
WBGene00016693,intrinsic component of membrane GO:0031224,1.0
WBGene00010715,intrinsic component of membrane GO:0031224,1.0
WBGene00005579,intrinsic component of membrane GO:0031224,1.0
WBGene00009856,intrinsic component of membrane GO:0031224,1.0
WBGene00000649,intrinsic component of membrane GO:0031224,1.0
WBGene00017264,intrinsic component of membrane GO:0031224,1.0
WBGene00044124,intrinsic component of membrane GO:0031224,1.0
WBGene00005728,intrinsic component of membrane GO:0031224,1.0
WBGene00001592,intrinsic component of membrane GO:0031224,1.0
WBGene00004227,intrinsic component of membrane GO:0031224,1.0
WBGene00000702,intrinsic component of membrane GO:0031224,1.0
WBGene00012024,intrinsic component of membrane GO:0031224,1.0
WBGene00002090,intrinsic component of membrane GO:0031224,1.0
WBGene00001243,intrinsic component of membrane GO:0031224,1.0
WBGene00269379,intrinsic component of membrane GO:0031224,1.0
