wbid,term,found
WBGene00006213,detection of chemical stimulus GO:0009593,1.0
WBGene00012349,detection of chemical stimulus GO:0009593,1.0
WBGene00006190,detection of chemical stimulus GO:0009593,1.0
WBGene00006259,detection of chemical stimulus GO:0009593,1.0
WBGene00008584,interspecies interaction between organisms GO:0044419,1.0
WBGene00008245,interspecies interaction between organisms GO:0044419,1.0
WBGene00018643,interspecies interaction between organisms GO:0044419,1.0
WBGene00003766,interspecies interaction between organisms GO:0044419,1.0
WBGene00016954,interspecies interaction between organisms GO:0044419,1.0
WBGene00008698,interspecies interaction between organisms GO:0044419,1.0
WBGene00012010,interspecies interaction between organisms GO:0044419,1.0
WBGene00008552,molecular transducer activity GO:0060089,1.0
WBGene00006213,molecular transducer activity GO:0060089,1.0
WBGene00016037,molecular transducer activity GO:0060089,1.0
WBGene00005815,molecular transducer activity GO:0060089,1.0
WBGene00194821,molecular transducer activity GO:0060089,1.0
WBGene00012349,molecular transducer activity GO:0060089,1.0
WBGene00006790,molecular transducer activity GO:0060089,1.0
WBGene00003252,molecular transducer activity GO:0060089,1.0
WBGene00008247,molecular transducer activity GO:0060089,1.0
WBGene00006190,molecular transducer activity GO:0060089,1.0
WBGene00006259,molecular transducer activity GO:0060089,1.0
WBGene00005204,molecular transducer activity GO:0060089,1.0
WBGene00006099,intrinsic component of membrane GO:0031224,1.0
WBGene00009269,intrinsic component of membrane GO:0031224,1.0
WBGene00010945,intrinsic component of membrane GO:0031224,1.0
WBGene00020584,intrinsic component of membrane GO:0031224,1.0
WBGene00008552,intrinsic component of membrane GO:0031224,1.0
WBGene00006213,intrinsic component of membrane GO:0031224,1.0
WBGene00017056,intrinsic component of membrane GO:0031224,1.0
WBGene00005622,intrinsic component of membrane GO:0031224,1.0
WBGene00016037,intrinsic component of membrane GO:0031224,1.0
WBGene00013684,intrinsic component of membrane GO:0031224,1.0
WBGene00010170,intrinsic component of membrane GO:0031224,1.0
WBGene00008679,intrinsic component of membrane GO:0031224,1.0
WBGene00019745,intrinsic component of membrane GO:0031224,1.0
WBGene00015725,intrinsic component of membrane GO:0031224,1.0
WBGene00005815,intrinsic component of membrane GO:0031224,1.0
WBGene00005472,intrinsic component of membrane GO:0031224,1.0
WBGene00000698,intrinsic component of membrane GO:0031224,1.0
WBGene00011960,intrinsic component of membrane GO:0031224,1.0
WBGene00009592,intrinsic component of membrane GO:0031224,1.0
WBGene00008126,intrinsic component of membrane GO:0031224,1.0
WBGene00005494,intrinsic component of membrane GO:0031224,1.0
WBGene00000758,intrinsic component of membrane GO:0031224,1.0
WBGene00005350,intrinsic component of membrane GO:0031224,1.0
WBGene00194821,intrinsic component of membrane GO:0031224,1.0
WBGene00006093,intrinsic component of membrane GO:0031224,1.0
WBGene00013318,intrinsic component of membrane GO:0031224,1.0
WBGene00018284,intrinsic component of membrane GO:0031224,1.0
WBGene00014260,intrinsic component of membrane GO:0031224,1.0
