wbid,term,found
WBGene00235102,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003390,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017605,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00011279,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00011969,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004895,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017778,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004806,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004387,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00016489,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004920,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00013343,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00022458,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00006481,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00021004,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00044916,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00011687,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00008683,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004699,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004315,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017162,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00020423,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00016837,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004698,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004704,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004918,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00008549,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00001808,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004385,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00006697,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00012896,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017816,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017098,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003077,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017929,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004919,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003079,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00022489,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004980,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00010629,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00009671,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00006698,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00010844,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00001840,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00001484,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00007016,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017768,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004705,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00019245,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004917,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00019762,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00006321,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004701,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004384,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00001166,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00002957,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00012245,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004916,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00009141,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00011605,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004386,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00015207,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00012230,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00016808,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00010233,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004703,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003078,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00010896,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00018156,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004896,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00008380,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017238,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00022794,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00020346,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004915,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00013347,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00022738,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00014218,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003082,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00017357,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004390,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00018776,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00019323,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004914,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00011758,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004389,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00011589,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00021901,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004700,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00007400,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003391,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004016,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004187,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00013678,nucleoside phosphate binding GO:1901265,1.0
WBGene00004273,nucleoside phosphate binding GO:1901265,1.0
WBGene00018391,nucleoside phosphate binding GO:1901265,1.0
WBGene00001520,nucleoside phosphate binding GO:1901265,1.0
WBGene00001497,nucleoside phosphate binding GO:1901265,1.0
WBGene00006888,nucleoside phosphate binding GO:1901265,1.0
WBGene00008331,nucleoside phosphate binding GO:1901265,1.0
WBGene00002152,nucleoside phosphate binding GO:1901265,1.0
WBGene00002223,nucleoside phosphate binding GO:1901265,1.0
WBGene00011771,nucleoside phosphate binding GO:1901265,1.0
WBGene00009246,nucleoside phosphate binding GO:1901265,1.0
WBGene00004189,nucleoside phosphate binding GO:1901265,1.0
WBGene00006437,nucleoside phosphate binding GO:1901265,1.0
WBGene00006896,nucleoside phosphate binding GO:1901265,1.0
WBGene00004719,nucleoside phosphate binding GO:1901265,1.0
WBGene00000186,nucleoside phosphate binding GO:1901265,1.0
WBGene00010015,nucleoside phosphate binding GO:1901265,1.0
WBGene00011449,nucleoside phosphate binding GO:1901265,1.0
WBGene00002001,nucleoside phosphate binding GO:1901265,1.0
WBGene00017864,nucleoside phosphate binding GO:1901265,1.0
