wbid,term,found
WBGene00006161,detection of chemical stimulus GO:0009593,1.0
WBGene00006155,detection of chemical stimulus GO:0009593,1.0
WBGene00008637,detection of chemical stimulus GO:0009593,1.0
WBGene00006205,detection of chemical stimulus GO:0009593,1.0
WBGene00006145,detection of chemical stimulus GO:0009593,1.0
WBGene00006221,detection of chemical stimulus GO:0009593,1.0
WBGene00006287,detection of chemical stimulus GO:0009593,1.0
WBGene00006215,detection of chemical stimulus GO:0009593,1.0
WBGene00006164,detection of chemical stimulus GO:0009593,1.0
WBGene00005039,detection of chemical stimulus GO:0009593,1.0
WBGene00006198,detection of chemical stimulus GO:0009593,1.0
WBGene00006242,detection of chemical stimulus GO:0009593,1.0
WBGene00005060,detection of chemical stimulus GO:0009593,1.0
WBGene00005059,detection of chemical stimulus GO:0009593,1.0
WBGene00006240,detection of chemical stimulus GO:0009593,1.0
WBGene00006210,detection of chemical stimulus GO:0009593,1.0
WBGene00016928,detection of chemical stimulus GO:0009593,1.0
WBGene00006182,detection of chemical stimulus GO:0009593,1.0
WBGene00021177,detection of chemical stimulus GO:0009593,1.0
WBGene00006256,detection of chemical stimulus GO:0009593,1.0
WBGene00006241,detection of chemical stimulus GO:0009593,1.0
WBGene00206366,detection of chemical stimulus GO:0009593,1.0
WBGene00012259,organic acid transport GO:0015849,1.0
WBGene00000541,organic acid transport GO:0015849,1.0
WBGene00010421,organic acid transport GO:0015849,1.0
WBGene00008320,organic acid transport GO:0015849,1.0
WBGene00000009,organic acid transport GO:0015849,1.0
WBGene00020168,organic acid transport GO:0015849,1.0
WBGene00015406,organic acid transport GO:0015849,1.0
WBGene00010340,organic acid transport GO:0015849,1.0
WBGene00009404,organic acid transport GO:0015849,1.0
WBGene00013159,organic acid transport GO:0015849,1.0
WBGene00013127,organic acid transport GO:0015849,1.0
WBGene00015197,organic acid transport GO:0015849,1.0
WBGene00000539,organic acid transport GO:0015849,1.0
WBGene00009513,organic acid transport GO:0015849,1.0
WBGene00003517,organic acid transport GO:0015849,1.0
WBGene00020289,interspecies interaction between organisms GO:0044419,1.0
WBGene00003094,interspecies interaction between organisms GO:0044419,1.0
WBGene00009090,interspecies interaction between organisms GO:0044419,1.0
