wbid,term,found
WBGene00006070,detection of chemical stimulus GO:0009593,1.0
WBGene00006213,detection of chemical stimulus GO:0009593,1.0
WBGene00006278,detection of chemical stimulus GO:0009593,1.0
WBGene00006143,detection of chemical stimulus GO:0009593,1.0
WBGene00006189,detection of chemical stimulus GO:0009593,1.0
WBGene00006186,detection of chemical stimulus GO:0009593,1.0
WBGene00006272,detection of chemical stimulus GO:0009593,1.0
WBGene00006259,detection of chemical stimulus GO:0009593,1.0
WBGene00006273,detection of chemical stimulus GO:0009593,1.0
WBGene00006188,detection of chemical stimulus GO:0009593,1.0
WBGene00006232,detection of chemical stimulus GO:0009593,1.0
WBGene00006279,detection of chemical stimulus GO:0009593,1.0
WBGene00006230,detection of chemical stimulus GO:0009593,1.0
WBGene00006244,detection of chemical stimulus GO:0009593,1.0
WBGene00006258,detection of chemical stimulus GO:0009593,1.0
WBGene00006211,detection of chemical stimulus GO:0009593,1.0
WBGene00006167,detection of chemical stimulus GO:0009593,1.0
WBGene00007360,detection of chemical stimulus GO:0009593,1.0
WBGene00006169,detection of chemical stimulus GO:0009593,1.0
WBGene00016288,organic acid transport GO:0015849,1.0
WBGene00004901,organic acid transport GO:0015849,1.0
WBGene00000005,organic acid transport GO:0015849,1.0
WBGene00002260,organic acid transport GO:0015849,1.0
WBGene00018980,organic acid transport GO:0015849,1.0
WBGene00004904,organic acid transport GO:0015849,1.0
WBGene00004909,organic acid transport GO:0015849,1.0
WBGene00018414,organic acid transport GO:0015849,1.0
WBGene00018901,organic acid transport GO:0015849,1.0
WBGene00018729,interspecies interaction between organisms GO:0044419,1.0
WBGene00020579,interspecies interaction between organisms GO:0044419,1.0
WBGene00010712,interspecies interaction between organisms GO:0044419,1.0
WBGene00010125,interspecies interaction between organisms GO:0044419,1.0
WBGene00003702,interspecies interaction between organisms GO:0044419,1.0
WBGene00015932,interspecies interaction between organisms GO:0044419,1.0
WBGene00009215,interspecies interaction between organisms GO:0044419,1.0
WBGene00018274,interspecies interaction between organisms GO:0044419,1.0
